Row.names	x	y	pixel_x	pixel_y	label
1002x1762	9.02	20.994	1002.5	1761.87241176471	invasive cancer
1002x2642	9.018	13.999	1002.25	2641.80226470588	invasive cancer
1003x1001	9.026	27.045	1003.25	1000.69220588235	adipose tissue
1004x1628	9.031	22.06	1003.875	1627.77588235294	invasive cancer
1006x1514	9.05	22.964	1006.25	1514.058	invasive cancer
1006x2137	9.046	18.015	1005.75	2136.61308823529	invasive cancer
1006x2389	9.048	16.007	1006	2389.20767647059	invasive cancer
1006x2768	9.051	12.993	1006.375	2768.35114705882	invasive cancer
1007x1886	9.056	20.006	1007	1886.157	invasive cancer
1008x2262	9.067	17.022	1008.375	2261.52664705882	invasive cancer
1009x1263	9.073	24.958	1009.125	1263.22452941176	invasive cancer
1009x1392	9.07	23.934	1008.75	1392.03770588235	invasive cancer
1011x1139	9.091	25.945	1011.375	1139.06573529412	invasive cancer
1105x2264	9.841	16.999	1105.125	2264.41991176471	invasive cancer
1106x2769	9.852	12.991	1106.5	2768.60273529412	invasive cancer
1108x1003	9.862	27.024	1107.75	1003.33388235294	adipose tissue
1108x2391	9.868	15.996	1108.5	2390.59141176471	invasive cancer
1108x2641	9.866	14.007	1108.25	2640.79591176471	invasive cancer
1109x1267	9.871	24.929	1108.875	1266.87255882353	invasive cancer
1109x1627	9.871	22.068	1108.875	1626.76952941176	invasive cancer
1109x1884	9.871	20.02	1108.875	1884.39588235294	invasive cancer
1109x2007	9.869	19.049	1108.625	2006.54197058824	invasive cancer
1110x1393	9.883	23.93	1110.375	1392.54088235294	invasive cancer
1110x1764	9.882	20.98	1110.25	1763.63352941176	invasive cancer
1110x2139	9.883	17.996	1110.375	2139.00317647059	invasive cancer
1110x2517	9.876	14.992	1109.5	2516.88870588235	invasive cancer
1113x891	9.902	27.919	1112.75	890.748147058823	adipose tissue
1114x1136	9.914	25.969	1114.25	1136.04667647059	invasive cancer
1115x1513	9.917	22.969	1114.625	1513.42902941176	invasive cancer
1229x1889	10.83	19.985	1228.75	1888.79867647059	invasive cancer
1231x1140	10.846	25.938	1230.75	1139.94629411765	invasive cancer
1233x2391	10.862	15.996	1232.75	2390.59141176471	invasive cancer
1233x2641	10.867	14.004	1233.375	2641.17329411765	invasive cancer
1234x1517	10.874	22.941	1234.25	1516.95126470588	invasive cancer
1234x1766	10.869	20.963	1233.625	1765.77202941176	invasive cancer
1234x2140	10.872	17.985	1234	2140.38691176471	invasive cancer
1234x2267	10.876	16.98	1234.5	2266.81	invasive cancer
1235x2014	10.881	18.992	1235.125	2013.71223529412	invasive cancer
1236x1018	10.886	26.91	1235.75	1017.67441176471	adipose tissue
1236x1396	10.892	23.905	1236.5	1395.68573529412	invasive cancer
1236x2519	10.892	14.973	1236.5	2519.27879411765	invasive cancer
1236x2775	10.886	12.944	1235.75	2774.51505882353	invasive cancer
1238x1628	10.907	22.056	1238.375	1628.27905882353	invasive cancer
1238x893	10.902	27.904	1237.75	892.63505882353	undetermined
1244x1270	10.949	24.902	1243.625	1270.269	invasive cancer
1380x2003	12.038	19.074	1379.75	2003.39711764706	invasive cancer
1380x2251	12.039	17.103	1379.875	2251.33732352941	invasive cancer
1382x1256	12.06	25.018	1382.5	1255.67688235294	invasive cancer
1383x1876	12.067	20.083	1383.375	1876.47085294118	invasive cancer
1383x2379	12.065	16.086	1383.125	2379.26994117647	invasive cancer
1383x2886	12.063	12.058	1382.875	2885.96864705882	invasive cancer
1384x1620	12.07	22.124	1383.75	1619.72505882353	invasive cancer
1384x2506	12.072	15.081	1384	2505.69302941176	invasive cancer
1385x1754	12.077	21.053	1384.625	1754.45055882353	invasive cancer
1385x2627	12.083	14.116	1385.375	2627.08435294118	invasive cancer
1386x1004	12.084	27.017	1385.5	1004.21444117647	invasive cancer
1386x1384	12.092	23.994	1386.5	1384.49005882353	invasive cancer
1386x2125	12.09	18.104	1386.25	2125.41741176471	invasive cancer
1387x1132	12.093	26.002	1386.625	1131.89547058824	invasive cancer
1388x877	12.108	28.032	1388.5	876.533411764706	invasive cancer
1389x2759	12.11	13.068	1388.75	2758.91658823529	invasive cancer
1392x1507	12.14	23.017	1392.5	1507.39091176471	invasive cancer
1498x2881	12.981	12.096	1497.625	2881.18847058824	invasive cancer
1506x1509	13.045	23.008	1505.625	1508.52305882353	invasive cancer
1508x2510	13.061	15.05	1507.625	2509.59264705882	invasive cancer
1509x2006	13.075	19.055	1509.375	2005.78720588235	invasive cancer
1510x2130	13.08	18.067	1510	2130.07179411765	invasive cancer
1512x1260	13.095	24.98	1511.875	1260.45705882353	invasive cancer
1512x1631	13.1	22.035	1512.5	1630.92073529412	invasive cancer
1512x1755	13.095	21.045	1511.875	1755.45691176471	invasive cancer
1512x2260	13.1	17.032	1512.5	2260.26870588235	invasive cancer
1512x2761	13.093	13.054	1511.625	2760.67770588235	invasive cancer
1513x2381	13.103	16.071	1512.875	2381.15685294118	invasive cancer
1513x881	13.105	27.998	1513.125	880.810411764705	invasive cancer
1514x1007	13.108	26.995	1513.5	1006.98191176471	invasive cancer
1514x2636	13.112	14.046	1514	2635.88994117647	invasive cancer
1516x1386	13.13	23.984	1516.25	1385.748	invasive cancer
1516x1884	13.13	20.024	1516.25	1883.89270588235	invasive cancer
1517x1134	13.134	25.985	1516.75	1134.03397058824	invasive cancer
1616x2764	13.929	13.026	1616.125	2764.19994117647	invasive cancer
1619x2636	13.954	14.049	1619.25	2635.51255882353	invasive cancer
1620x2383	13.959	16.055	1619.875	2383.16955882353	invasive cancer
1621x2134	13.97	18.033	1621.25	2134.34879411765	invasive cancer
1622x2510	13.979	15.045	1622.375	2510.22161764706	invasive cancer
1624x1134	13.99	25.984	1623.75	1134.15976470588	invasive cancer
1624x1758	13.988	21.028	1623.5	1757.59541176471	invasive cancer
1625x2263	14.002	17.01	1625.25	2263.03617647059	invasive cancer
1627x1008	14.019	26.984	1627.375	1008.36564705882	invasive cancer
1627x1632	14.016	22.026	1627	1632.05288235294	invasive cancer
1627x1884	14.013	20.023	1626.625	1884.0185	invasive cancer
1629x1511	14.033	22.989	1629.125	1510.91314705882	invasive cancer
1630x1261	14.04	24.977	1630	1260.83444117647	invasive cancer
1630x2006	14.039	19.052	1629.875	2006.16458823529	invasive cancer
1631x1388	14.046	23.966	1630.75	1388.01229411765	invasive cancer
1633x883	14.065	27.984	1633.125	882.571529411764	invasive cancer
1736x2638	14.885	14.03	1735.625	2637.90264705882	invasive cancer
1739x1881	14.909	20.045	1738.625	1881.25102941176	invasive cancer
1741x1390	14.928	23.947	1741	1390.40238235294	invasive cancer
1741x2386	14.931	16.031	1741.375	2386.18861764706	invasive cancer
1742x2253	14.94	17.092	1742.5	2252.72105882353	invasive cancer
1743x1141	14.943	25.931	1742.875	1140.82685294118	invasive cancer
1745x1634	14.963	22.012	1745.375	1633.814	invasive cancer
1746x1009	14.971	26.976	1746.375	1009.372	invasive cancer
1746x1513	14.971	22.971	1746.375	1513.17744117647	invasive cancer
1746x2011	14.965	19.015	1745.625	2010.81897058824	invasive cancer
1748x1265	14.986	24.942	1748.25	1265.23723529412	invasive cancer
1748x2135	14.982	18.029	1747.75	2134.85197058824	invasive cancer
1749x1755	14.992	21.051	1749	1754.70214705882	invasive cancer
1749x2513	14.989	15.024	1748.625	2512.86329411765	invasive cancer
1750x2765	14.996	13.019	1749.5	2765.0805	invasive cancer
1867x1510	15.939	22.994	1867.375	1510.28417647059	invasive cancer
1870x1758	15.961	21.022	1870.125	1758.35017647059	invasive cancer
1872x2513	15.973	15.026	1871.625	2512.61170588235	invasive cancer
1872x2763	15.972	13.034	1871.5	2763.19358823529	invasive cancer
1874x2134	15.996	18.036	1874.5	2133.97141176471	invasive cancer
1874x2387	15.99	16.022	1873.75	2387.32076470588	invasive cancer
1875x2894	15.999	11.995	1874.875	2893.89367647059	invasive cancer
1876x2006	16.011	19.051	1876.375	2006.29038235294	invasive cancer
1876x2260	16.004	17.033	1875.5	2260.14291176471	invasive cancer
1877x1386	16.013	23.98	1876.625	1386.25117647059	invasive cancer
1878x1007	16.025	26.992	1878.125	1007.35929411765	invasive cancer
1878x1261	16.02	24.978	1877.5	1260.70864705882	invasive cancer
1879x1137	16.029	25.958	1878.625	1137.43041176471	invasive cancer
1879x1885	16.033	20.018	1879.125	1884.64747058824	invasive cancer
1882x1631	16.057	22.038	1882.125	1630.54335294118	invasive cancer
1884x2640	16.068	14.012	1883.5	2640.16694117647	invasive cancer
1985x1618	16.883	22.134	1985.375	1618.46711764706	invasive cancer
1990x1262	16.923	24.967	1990.375	1262.09238235294	invasive cancer
1991x2007	16.925	19.044	1990.625	2007.17094117647	invasive cancer
1992x2255	16.935	17.077	1991.875	2254.60797058823	invasive cancer
1993x1011	16.943	26.962	1992.875	1011.13311764706	invasive cancer
1994x2518	16.952	14.983	1994	2518.02085294118	invasive cancer
1994x2654	16.951	13.906	1993.875	2653.50111764706	invasive cancer
1995x2132	16.961	18.052	1995.125	2131.95870588235	invasive cancer
1998x1139	16.985	25.946	1998.125	1138.93994117647	invasive cancer
1998x2387	16.984	16.027	1998	2386.69179411765	invasive cancer
2000x2769	16.997	12.987	1999.625	2769.10591176471	invasive cancer
2002x1391	17.016	23.941	2002	1391.15714705882	invasive cancer
2002x1515	17.016	22.955	2002	1515.19014705882	invasive cancer
2002x1888	17.02	19.995	2002.5	1887.54073529412	invasive cancer
2005x1758	17.039	21.023	2004.875	1758.22438235294	invasive cancer
2118x2249	17.945	17.12	2118.125	2249.19882352941	invasive cancer
2120x2639	17.958	14.024	2119.75	2638.65741176471	invasive cancer
2120x2766	17.956	13.011	2119.5	2766.08685294118	invasive cancer
2121x1511	17.969	22.989	2121.125	1510.91314705882	invasive cancer
2121x1756	17.965	21.039	2120.625	1756.21167647059	invasive cancer
2121x2387	17.969	16.022	2121.125	2387.32076470588	invasive cancer
2122x1387	17.974	23.972	2121.75	1387.25752941176	invasive cancer
2122x1885	17.978	20.014	2122.25	1885.15064705882	invasive cancer
2123x2520	17.981	14.965	2122.625	2520.28514705882	invasive cancer
2124x2133	17.992	18.046	2124	2132.71347058824	invasive cancer
2129x1138	18.035	25.957	2129.375	1137.55620588235	invasive cancer
2130x1012	18.036	26.954	2129.5	1012.13947058824	invasive cancer
2131x1632	18.048	22.025	2131	1632.17867647059	invasive cancer
2132x2009	18.054	19.027	2131.75	2009.30944117647	invasive cancer
2133x1263	18.067	24.961	2133.375	1262.84714705882	invasive cancer
2238x2010	18.907	19.023	2238.375	2009.81261764706	invasive cancer
2241x2766	18.93	13.009	2241.25	2766.33844117647	invasive cancer
2242x2252	18.938	17.101	2242.25	2251.58891176471	invasive cancer
2242x2388	18.938	16.02	2242.25	2387.57235294118	invasive cancer
2245x1010	18.963	26.973	2245.375	1009.74938235294	invasive cancer
2245x1247	18.959	25.085	2244.875	1247.24867647059	invasive cancer
2245x1765	18.958	20.967	2244.75	1765.26885294118	invasive cancer
2246x1379	18.966	24.035	2245.75	1379.3325	invasive cancer
2246x1620	18.971	22.122	2246.375	1619.97664705882	invasive cancer
2246x1884	18.966	20.02	2245.75	1884.39588235294	invasive cancer
2246x2133	18.966	18.04	2245.75	2133.46823529412	invasive cancer
2247x2635	18.973	14.054	2246.625	2634.88358823529	invasive cancer
2248x1137	18.988	25.965	2248.5	1136.54985294118	invasive cancer
2248x2517	18.985	14.993	2248.125	2516.76291176471	invasive cancer
2248x2891	18.98	12.02	2247.5	2890.74882352941	invasive cancer
2249x1512	18.992	22.983	2249	1511.66791176471	invasive cancer
234x2636	2.876	14.048	234.5	2635.63835294118	invasive cancer
2384x1253	20.071	25.043	2383.875	1252.53202941177	invasive cancer
2387x2013	20.097	18.997	2387.125	2013.08326470588	invasive cancer
2388x1625	20.101	22.084	2387.625	1624.75682352941	invasive cancer
2388x2138	20.102	18.006	2387.75	2137.74523529412	invasive cancer
2388x2257	20.103	17.055	2387.875	2257.37544117647	invasive cancer
2388x2391	20.106	15.993	2388.25	2390.96879411765	invasive cancer
2389x2515	20.11	15.008	2388.75	2514.876	invasive cancer
2391x1013	20.13	26.95	2391.25	1012.64264705882	invasive cancer
2391x1390	20.128	23.951	2391	1389.89920588235	invasive cancer
2391x2896	20.128	11.977	2391	2896.15797058824	invasive cancer
2392x1141	20.139	25.933	2392.375	1140.57526470588	invasive cancer
2392x2641	20.135	14.002	2391.875	2641.42488235294	invasive cancer
2393x1761	20.142	21.004	2392.75	1760.61447058824	invasive cancer
2394x1886	20.155	20.005	2394.375	1886.28279411765	invasive cancer
2395x1516	20.159	22.948	2394.875	1516.07070588235	invasive cancer
2395x2771	20.159	12.97	2394.875	2771.24441176471	invasive cancer
239x2132	2.914	18.049	239.25	2132.33608823529	connective tissue
239x2258	2.91	17.053	238.75	2257.62702941176	connective tissue
244x1885	2.953	20.014	244.125	1885.15064705882	connective tissue
245x2008	2.959	19.04	244.875	2007.67411764706	connective tissue
246x1757	2.965	21.029	245.625	1757.46961764706	cancer in situ
2489x2518	20.91	14.983	2488.75	2518.02085294118	invasive cancer
2490x1516	20.916	22.95	2489.5	1515.81911764706	invasive cancer
