Row.names	x	y	pixel_x	pixel_y	label
1001x2272	9.008	17.012	1001	2271.77858823529	connective tissue
1099x1899	9.79	19.966	1098.75	1898.70576470588	invasive cancer
1100x1649	9.802	21.945	1100.25	1648.76970588235	invasive cancer
1100x1775	9.803	20.942	1100.375	1775.44270588235	invasive cancer
1100x2405	9.796	15.956	1099.5	2405.14517647059	connective tissue
1101x2152	9.809	17.957	1101.125	2152.43064705882	connective tissue
1102x2027	9.814	18.951	1101.75	2026.89429411765	undetermined
1102x2280	9.814	16.943	1101.75	2280.49288235294	connective tissue
1222x1902	10.772	19.94	1221.5	1901.98941176471	invasive cancer
1225x1778	10.8	20.919	1225	1778.34747058824	invasive cancer
1226x2029	10.806	18.931	1225.75	2029.42017647059	undetermined
1229x2155	10.832	17.936	1229	2155.08282352941	connective tissue
1229x2533	10.835	14.941	1229.375	2533.33370588235	connective tissue
1230x1654	10.838	21.903	1229.75	1654.07405882353	invasive cancer
1230x2284	10.84	16.915	1230	2284.02911764706	connective tissue
1230x2409	10.843	15.926	1230.375	2408.934	connective tissue
1366x1766	11.93	21.019	1366.25	1765.71805882353	invasive cancer
1370x2136	11.958	18.088	1369.75	2135.88611764706	connective tissue
1370x2642	11.963	14.081	1370.375	2641.94664705882	connective tissue
1371x2391	11.97	16.071	1371.25	2390.62135294118	connective tissue
1373x1635	11.981	22.052	1372.625	1635.25623529412	invasive cancer
1373x1888	11.987	20.053	1373.375	1887.71817647059	invasive cancer
1375x2011	11.997	19.073	1374.625	2011.48641176471	invasive cancer
1376x2266	12.012	17.058	1376.5	2265.96905882353	connective tissue
1376x2521	12.012	15.036	1376.5	2521.33576470588	connective tissue
1380x1519	12.036	22.97	1379.5	1519.31823529412	invasive cancer
1496x1520	12.968	22.961	1496	1520.45488235294	invasive cancer
1496x2517	12.97	15.074	1496.25	2516.53658823529	connective tissue
1498x1891	12.983	20.028	1497.875	1890.87552941177	invasive cancer
1500x2017	12.997	19.033	1499.625	2016.53817647059	invasive cancer
1501x2267	13.005	17.047	1500.625	2267.35829411765	connective tissue
1502x1770	13.017	20.986	1502.125	1769.88576470588	invasive cancer
1502x2646	13.015	14.045	1501.875	2646.49323529412	connective tissue
1504x2144	13.034	18.027	1504.25	2143.59005882353	undetermined
1504x2397	13.033	16.024	1504.125	2396.55717647059	connective tissue
1506x1641	13.049	22.005	1506.125	1641.19205882353	invasive cancer
1510x2775	13.08	13.03	1510	2774.68176470588	connective tissue
1594x2650	13.756	14.016	1594.5	2650.15576470588	connective tissue
1606x2394	13.852	16.044	1606.5	2394.03129411765	connective tissue
1607x1766	13.859	21.014	1607.375	1766.34952941176	invasive cancer
1607x2016	13.853	19.036	1606.625	2016.15929411765	invasive cancer
1608x1643	13.86	21.989	1607.5	1643.21276470588	invasive cancer
1609x2523	13.873	15.019	1609.125	2523.48276470588	connective tissue
1610x2144	13.881	18.024	1610.125	2143.96894117647	invasive cancer
1611x2264	13.89	17.075	1611.25	2263.82205882353	invasive cancer
1611x2898	13.891	12.054	1611.375	2897.94482352941	connective tissue
1612x2773	13.894	13.043	1611.75	2773.03994117647	connective tissue
1614x1889	13.915	20.045	1614.375	1888.72852941176	invasive cancer
1620x1519	13.961	22.969	1620.125	1519.44452941176	invasive cancer
1731x2142	14.846	18.043	1730.75	2141.56935294118	invasive cancer
1733x1523	14.867	22.942	1733.375	1522.85447058824	invasive cancer
1733x1655	14.865	21.896	1733.125	1654.95811764706	invasive cancer
1735x1401	14.88	23.906	1735	1401.10694117647	invasive cancer
1736x2022	14.888	18.988	1736	2022.22141176471	invasive cancer
1736x2902	14.886	12.022	1735.75	2901.98623529412	connective tissue
1737x2653	14.893	13.991	1736.625	2653.31311764706	connective tissue
1738x2523	14.902	15.022	1737.75	2523.10388235294	invasive cancer
1739x1892	14.91	20.023	1738.75	1891.507	invasive cancer
1740x2776	14.921	13.022	1740.125	2775.69211764706	connective tissue
1741x2394	14.926	16.046	1740.75	2393.77870588235	invasive cancer
1743x1769	14.944	20.993	1743	1769.00170588235	invasive cancer
1744x2270	14.948	17.024	1743.5	2270.26305882353	invasive cancer
1848x1768	15.78	20.997	1847.5	1768.49652941176	invasive cancer
1858x2903	15.862	12.012	1857.75	2903.24917647059	invasive cancer
1859x2272	15.87	17.012	1858.75	2271.77858823529	invasive cancer
1859x2399	15.87	16.008	1858.75	2398.57788235294	invasive cancer
1860x1897	15.876	19.978	1859.5	1897.19023529412	invasive cancer
1860x3032	15.883	10.996	1860.375	3031.564	invasive cancer
1861x2778	15.891	13.003	1861.375	2778.09170588235	invasive cancer
1864x2146	15.916	18.009	1864.5	2145.86335294118	invasive cancer
1865x1644	15.919	21.986	1864.875	1643.59164705882	invasive cancer
1866x1525	15.925	22.924	1865.625	1525.12776470588	invasive cancer
1866x2655	15.929	13.98	1866.125	2654.70235294118	invasive cancer
1867x2017	15.936	19.03	1867	2016.91705882353	invasive cancer
1868x1399	15.944	23.919	1868	1399.46511764706	invasive cancer
1868x2525	15.945	15.008	1868.125	2524.872	invasive cancer
1964x1632	16.71	22.074	1963.75	1632.47776470588	invasive cancer
1974x2777	16.791	13.013	1973.875	2776.82876470588	invasive cancer
1975x2138	16.804	18.074	1975.5	2137.65423529412	invasive cancer
1978x1525	16.824	22.922	1978	1525.38035294118	invasive cancer
1978x2653	16.827	13.995	1978.375	2652.80794117647	invasive cancer
1980x2018	16.837	19.022	1979.625	2017.92741176471	invasive cancer
1981x1399	16.846	23.923	1980.75	1398.95994117647	invasive cancer
1982x2520	16.86	15.045	1982.5	2520.19911764706	invasive cancer
1984x1899	16.874	19.963	1984.25	1899.08464705882	invasive cancer
1985x1273	16.881	24.917	1985.125	1273.42358823529	invasive cancer
1985x1770	16.878	20.987	1984.75	1769.75947058824	invasive cancer
1987x2400	16.895	15.998	1986.875	2399.84082352941	invasive cancer
1987x2906	16.893	11.99	1986.625	2906.02764705882	invasive cancer
1989x3033	16.908	10.987	1988.5	3032.70064705882	invasive cancer
1992x2262	16.937	17.088	1992.125	2262.18023529412	invasive cancer
2106x3144	17.846	10.102	2105.75	3144.47094117647	invasive cancer
2108x1911	17.861	19.869	2107.625	1910.95629411765	invasive cancer
