Row.names	x	y	pixel_x	pixel_y	label
1001x2002	9.009	19.036	1001.125	2002.07341176471	invasive cancer
1001x2387	9.008	15.966	1001	2387.08752941176	invasive cancer
1002x2768	9.019	12.925	1002.375	2768.46470588235	invasive cancer
1003x2514	9.024	14.951	1003	2514.38047058823	invasive cancer
1003x2632	9.026	14.014	1003.25	2631.89129411765	invasive cancer
1004x2139	9.028	17.948	1003.5	2138.52141176471	invasive cancer
1005x1012	9.041	26.931	1005.125	1011.94752941176	undetermined
1005x1389	9.038	23.922	1004.75	1389.31152941176	undetermined
1005x2257	9.037	17.001	1004.625	2257.28635294118	invasive cancer
1005x2890	9.043	11.952	1005.375	2890.49035294118	connective tissue
1006x1620	9.044	22.085	1005.5	1619.69294117647	invasive cancer
1007x1763	9.056	20.946	1007	1762.53694117647	invasive cancer
1007x1881	9.059	20.003	1007.375	1880.80023529412	invasive cancer
1008x1138	9.061	25.924	1007.625	1138.23717647059	connective tissue
1008x1511	9.068	22.952	1008.5	1510.96094117647	invasive cancer
1012x1261	9.098	24.946	1012.25	1260.88988235294	connective tissue
1111x1765	9.889	20.926	1111.125	1765.04517647059	invasive cancer
1111x2888	9.888	11.972	1111	2887.98211764706	connective tissue
1113x2257	9.901	17.001	1112.625	2257.28635294118	invasive cancer
1113x2629	9.907	14.034	1113.375	2629.38305882353	invasive cancer
1115x3013	9.919	10.975	1114.875	3013.01764705882	connective tissue
1116x1258	9.927	24.966	1115.875	1258.38164705882	connective tissue
1116x2131	9.929	18.004	1116.125	2131.49835294118	invasive cancer
1117x2381	9.935	16.015	1116.875	2380.94235294118	invasive cancer
1117x2512	9.936	14.971	1117	2511.87223529412	invasive cancer
1118x1131	9.945	25.978	1118.125	1131.46494117647	undetermined
1118x1874	9.948	20.057	1118.5	1874.028	invasive cancer
1118x1994	9.946	19.104	1118.25	1993.54541176471	invasive cancer
1118x2760	9.947	12.991	1118.375	2760.18752941176	undetermined
1119x3142	9.953	9.949	1119.125	3141.69011764706	connective tissue
1121x1503	9.966	23.014	1120.75	1503.18541176471	invasive cancer
1121x1618	9.968	22.097	1121	1618.188	invasive cancer
1121x997	9.969	27.047	1121.125	997.399764705882	undetermined
1125x1385	9.999	23.956	1124.875	1385.04752941177	connective tissue
1233x2644	10.865	13.915	1233.125	2644.30705882353	invasive cancer
1239x1888	10.909	19.945	1238.625	1888.07411764706	invasive cancer
1239x3019	10.914	10.926	1239.25	3019.16282352941	connective tissue
1241x2515	10.925	14.943	1240.625	2515.38376470588	invasive cancer
1242x1011	10.938	26.939	1242.25	1010.94423529412	undetermined
1242x1392	10.932	23.9	1241.5	1392.07058823529	connective tissue
1242x2384	10.938	15.99	1242.25	2384.07764705882	invasive cancer
1242x2766	10.937	12.941	1242.125	2766.45811764706	connective tissue
1242x886	10.937	27.938	1242.125	885.657882352941	undetermined
1244x1762	10.953	20.947	1244.125	1762.41152941176	invasive cancer
1244x2139	10.956	17.944	1244.5	2139.02305882353	invasive cancer
1245x1515	10.96	22.919	1245	1515.09952941176	connective tissue
1245x2007	10.962	18.997	1245.25	2006.96447058824	invasive cancer
1245x2897	10.961	11.899	1245.125	2897.13717647059	connective tissue
1246x1137	10.965	25.932	1245.625	1137.23388235294	undetermined
1246x1625	10.967	22.04	1245.875	1625.33647058824	invasive cancer
1249x1267	10.993	24.899	1249.125	1266.78423529412	connective tissue
1249x2265	10.993	16.943	1249.125	2264.56023529412	invasive cancer
1384x2506	12.074	15.02	1384.25	2505.72705882353	invasive cancer
1385x2882	12.077	12.021	1384.625	2881.83694117647	immune infiltrate
1386x1126	12.091	26.021	1386.375	1126.07223529412	connective tissue
1386x1502	12.084	23.02	1385.5	1502.43294117647	connective tissue
1386x3012	12.085	10.982	1385.625	3012.13976470588	immune infiltrate
1387x1001	12.095	27.02	1386.875	1000.78588235294	connective tissue
1387x1384	12.097	23.961	1387.125	1384.42047058824	connective tissue
1387x2255	12.098	17.017	1387.25	2255.27976470588	invasive cancer
1387x2626	12.094	14.057	1386.75	2626.49858823529	undetermined
1388x1619	12.102	22.088	1387.75	1619.31670588235	connective tissue
1389x2003	12.114	19.03	1389.25	2002.82588235294	invasive cancer
1389x2379	12.111	16.03	1388.875	2379.06117647059	invasive cancer
1389x2755	12.112	13.032	1389	2755.04564705882	connective tissue
1391x1249	12.128	25.037	1391	1249.47741176471	connective tissue
1391x1754	12.131	21.018	1391.375	1753.50729411765	undetermined
1391x1878	12.13	20.027	1391.25	1877.79035294118	invasive cancer
1393x2125	12.147	18.053	1393.375	2125.35317647059	invasive cancer
1510x2628	13.081	14.043	1510.125	2628.25435294118	connective tissue
1512x1878	13.098	20.025	1512.25	1878.04117647059	connective tissue
1512x2126	13.097	18.046	1512.125	2126.23105882353	connective tissue
1515x2003	13.122	19.03	1515.25	2002.82588235294	connective tissue
1515x2757	13.121	13.019	1515.125	2756.676	connective tissue
1515x878	13.121	28.003	1515.125	877.506117647059	invasive cancer
1516x1255	13.131	24.994	1516.375	1254.87011764706	connective tissue
1516x1381	13.126	23.991	1515.75	1380.65811764706	connective tissue
1516x2254	13.124	17.024	1515.5	2254.40188235294	connective tissue
1516x3010	13.124	11.002	1515.5	3009.63152941176	immune infiltrate
1517x1753	13.133	21.023	1516.625	1752.88023529412	connective tissue
1518x2379	13.144	16.029	1518	2379.18658823529	connective tissue
1518x2509	13.142	14.996	1517.75	2508.73694117647	connective tissue
1519x1005	13.154	26.988	1519.25	1004.79905882353	invasive cancer
1520x2881	13.164	12.029	1520.5	2880.83364705882	connective tissue
1521x1503	13.167	23.017	1520.875	1502.80917647059	connective tissue
1522x1131	13.176	25.985	1522	1130.58705882353	invasive cancer
1522x1628	13.174	22.015	1521.75	1628.47176470588	connective tissue
1622x2504	13.975	15.037	1621.875	2503.59505882353	connective tissue
1622x2883	13.974	12.014	1621.75	2882.71482352941	undetermined
1622x3008	13.979	11.012	1622.375	3008.37741176471	connective tissue
1624x1754	13.988	21.013	1623.5	1754.13435294118	connective tissue
1624x2251	13.995	17.049	1624.375	2251.26658823529	connective tissue
1625x2379	13.999	16.028	1624.875	2379.312	connective tissue
1626x1130	14.009	25.993	1626.125	1129.58376470588	invasive cancer
1627x2755	14.019	13.032	1627.375	2755.04564705882	immune infiltrate
1628x1001	14.026	27.022	1628.25	1000.53505882353	invasive cancer
1630x2002	14.04	19.035	1630	2002.19882352941	connective tissue
1630x872	14.041	28.046	1630.125	872.113411764706	invasive cancer
1631x1256	14.045	24.985	1630.625	1255.99882352941	invasive cancer
1631x1378	14.048	24.01	1631	1378.27529411765	invasive cancer
1631x1503	14.05	23.014	1631.25	1503.18541176471	connective tissue
1631x1878	14.045	20.024	1630.625	1878.16658823529	connective tissue
