Row.names	x	y	pixel_x	pixel_y	label
1104x1892	9.831	19.895	1103.875	1891.67911764706	immune infiltrate
1108x1516	9.867	22.892	1108.375	1516.34894117647	invasive cancer
1108x3262	9.868	8.953	1108.5	3262.00370588235	undetermined
1109x1012	9.875	26.923	1109.375	1011.52547058824	invasive cancer
1109x1135	9.871	25.939	1108.875	1134.757	invasive cancer
1109x2261	9.874	16.944	1109.25	2261.24847058824	invasive cancer
1109x2391	9.87	15.911	1108.75	2390.61652941176	invasive cancer
1109x2640	9.873	13.922	1109.125	2639.70952941176	undetermined
1109x2762	9.872	12.946	1109	2761.93917647059	immune infiltrate
1109x3137	9.874	9.955	1109.25	3136.51794117647	undetermined
1109x3383	9.875	7.989	1109.375	3382.73052941176	immune infiltrate
1109x3505	9.869	7.013	1108.625	3504.96017647059	immune infiltrate
1109x3751	9.874	5.05	1109.25	3750.79705882353	immune infiltrate
1109x4003	9.872	3.033	1109	4003.39664705882	undetermined
1110x1262	9.883	24.923	1110.375	1261.99605882353	invasive cancer
1110x1637	9.879	21.925	1109.875	1637.45147058824	invasive cancer
1110x1761	9.877	20.937	1109.625	1761.18394117647	invasive cancer
1110x2136	9.877	17.941	1109.625	2136.38888235294	immune infiltrate
1110x2511	9.881	14.951	1110.125	2510.84241176471	invasive cancer
1110x3014	9.882	10.937	1110.25	3013.53688235294	connective tissue
1110x3622	9.879	6.075	1109.875	3622.43088235294	invasive cancer
1110x3875	9.879	4.06	1109.875	3874.78	immune infiltrate
1111x1388	9.889	23.916	1111.125	1388.108	invasive cancer
1111x2015	9.889	18.914	1111.125	2014.53494117647	immune infiltrate
1111x2887	9.887	11.945	1110.875	2887.29970588235	undetermined
121x2256	1.969	16.985	121.125	2256.11382352941	invasive cancer
1227x2387	10.817	15.941	1227.125	2386.85947058824	immune infiltrate
122x2507	1.979	14.982	122.375	2506.96011764706	invasive cancer
122x2632	1.974	13.98	121.75	2632.44588235294	invasive cancer
122x2757	1.977	12.984	122.125	2757.18023529412	immune infiltrate
1232x2016	10.858	18.906	1232.25	2015.53682352941	immune infiltrate
1233x1261	10.863	24.927	1232.875	1261.49511764706	invasive cancer
