Row.names	x	y	pixel_x	pixel_y	label
1000x734	9.002	29.106	1000.25	734.323058823529	connective tissue
1002x1994	9.02	18.993	1002.5	1994.28388235294	invasive cancer
1002x2746	9.018	12.956	1002.25	2746.42305882353	undetermined
1002x3732	9.017	5.048	1002.125	3731.66682352941	invasive cancer
1002x990	9.019	27.056	1002.375	989.72894117647	connective tissue
1003x2872	9.022	11.95	1002.75	2871.75882352941	invasive cancer
1003x2995	9.022	10.961	1002.75	2994.97658823529	invasive cancer
1003x3247	9.025	8.94	1003.125	3246.76941176471	invasive cancer
1003x3486	9.023	7.021	1002.875	3485.85423529412	invasive cancer
1003x3602	9.027	6.088	1003.375	3602.09505882353	invasive cancer
1003x3857	9.027	4.042	1003.375	3857.00258823529	invasive cancer
1003x4111	9.025	2.002	1003.125	4111.16258823529	invasive cancer
1004x1367	9.036	24.028	1004.5	1366.98211764706	immune infiltrate
1004x1491	9.028	23.032	1003.5	1491.072	immune infiltrate
1004x1865	9.032	20.032	1004	1864.83670588235	invasive cancer
1004x2494	9.033	14.986	1004.125	2493.50894117647	invasive cancer
1004x3117	9.034	9.982	1004.25	3116.94847058824	invasive cancer
1004x3986	9.028	3.01	1003.5	3985.57764705882	invasive cancer
1005x1615	9.039	22.035	1004.875	1615.28647058824	invasive cancer
1005x1745	9.038	20.995	1004.75	1744.85823529412	invasive cancer
1005x2120	9.043	17.983	1005.375	2120.118	invasive cancer
1005x2368	9.039	15.99	1004.875	2368.42235294118	invasive cancer
1005x2620	9.038	13.969	1004.75	2620.21517647059	invasive cancer
1005x361	9.039	32.103	1004.875	360.932117647058	immune infiltrate
1005x867	9.041	28.043	1005.125	866.760352941176	connective tissue
1006x1115	9.047	26.049	1005.875	1115.18929411765	immune infiltrate
1006x3363	9.048	8.009	1006	3362.76105882353	invasive cancer
1006x616	9.05	30.058	1006.25	615.715058823529	undetermined
1007x1240	9.053	25.044	1006.625	1240.40047058824	immune infiltrate
1007x2244	9.055	16.992	1006.875	2243.58494117647	invasive cancer
1007x236	9.057	33.108	1007.125	235.720941176471	immune infiltrate
1008x489	9.06	31.072	1007.5	489.382588235294	connective tissue
1112x2748	9.9	12.944	1112.5	2747.91811764706	connective tissue
1112x2999	9.898	10.927	1112.25	2999.21258823529	invasive cancer
1113x2874	9.905	11.932	1113.125	2874.00141176471	invasive cancer
1113x3120	9.902	9.961	1112.75	3119.56482352941	invasive cancer
1113x3246	9.905	8.948	1113.125	3245.77270588235	invasive cancer
1113x3608	9.907	6.04	1113.375	3608.07529411765	invasive cancer
1113x3988	9.902	2.99	1112.75	3988.06941176471	invasive cancer
1114x1994	9.912	18.994	1114	1994.15929411765	invasive cancer
1114x2123	9.916	17.961	1114.5	2122.85894117647	invasive cancer
1114x3489	9.911	6.993	1113.875	3489.34270588235	invasive cancer
1114x3735	9.915	5.02	1114.375	3735.15529411765	invasive cancer
1115x1746	9.917	20.987	1114.625	1745.85494117647	invasive cancer
1115x2371	9.92	15.969	1115	2371.03870588235	invasive cancer
1115x2497	9.92	14.955	1115	2497.37117647059	invasive cancer
1115x3861	9.922	4.009	1115.25	3861.114	invasive cancer
1115x4114	9.918	1.98	1114.75	4113.90352941176	invasive cancer
1116x1369	9.927	24.008	1115.875	1369.47388235294	immune infiltrate
1116x1870	9.925	19.99	1115.625	1870.06941176471	invasive cancer
1116x2622	9.924	13.954	1115.5	2622.084	invasive cancer
1116x618	9.931	30.041	1116.375	617.833058823529	connective tissue
1116x745	9.925	29.024	1115.625	744.539294117647	connective tissue
1116x871	9.932	28.011	1116.5	870.747176470588	connective tissue
1117x1495	9.938	23.003	1117.25	1494.68505882353	immune infiltrate
1117x1620	9.935	21.997	1116.875	1620.02082352941	invasive cancer
1117x2248	9.936	16.96	1117	2247.57176470588	invasive cancer
1117x368	9.935	32.046	1116.875	368.033647058824	immune infiltrate
