Row.names	x	y	pixel_x	pixel_y	label
1109x3486	9.875	6.982	1109.375	3485.76882352941	breast glands
1110x1748	9.884	20.95	1110.5	1747.98529411765	connective tissue
1110x1870	9.876	19.969	1109.5	1870.03323529412	connective tissue
1110x2370	9.884	15.952	1110.5	2369.79529411765	adipose tissue
1110x2868	9.88	11.946	1110	2868.18882352941	immune infiltrate
1110x3119	9.883	9.928	1110.375	3119.25176470588	adipose tissue
1110x3235	9.877	8.996	1109.625	3235.20352941176	undetermined
1111x1243	9.888	25.005	1111	1243.49558823529	connective tissue
1111x1496	9.888	22.975	1111	1496.05147058824	adipose tissue
1111x3364	9.889	7.962	1111.125	3363.84529411765	breast glands
1112x2122	9.896	17.945	1112	2121.84264705882	immune infiltrate
1112x2247	9.894	16.941	1111.75	2246.75205882353	immune infiltrate
1112x2496	9.894	14.941	1111.75	2495.57558823529	adipose tissue
1112x2622	9.892	13.925	1111.5	2621.97794117647	adipose tissue
1112x2992	9.899	10.948	1112.375	2992.35176470588	immune infiltrate
1113x1620	9.901	21.982	1112.625	1619.59235294118	adipose tissue
1113x2747	9.902	12.917	1112.75	2747.385	adipose tissue
1114x1369	9.913	23.999	1114.125	1368.65382352941	connective tissue
1114x1990	9.91	19.008	1113.75	1989.59294117647	breast glands
1234x1241	10.872	25.028	1234	1240.63411764706	connective tissue
1234x3485	10.874	6.992	1234.25	3484.52470588235	breast glands
1235x2866	10.879	11.963	1234.875	2866.07382352941	undetermined
1235x3240	10.882	8.96	1235.25	3239.68235294118	breast glands
1236x1493	10.891	22.998	1236.375	1493.19	adipose tissue
1236x3364	10.889	7.961	1236.125	3363.96970588235	undetermined
1237x1869	10.897	19.979	1237.125	1868.78911764706	connective tissue
1237x2494	10.898	14.953	1237.25	2494.08264705882	undetermined
1238x1994	10.9	18.97	1237.5	1994.32058823529	breast glands
1238x2121	10.905	17.952	1238.125	2120.97176470588	immune infiltrate
1238x2370	10.901	15.953	1237.625	2369.67088235294	undetermined
1239x2247	10.91	16.939	1238.75	2247.00088235294	immune infiltrate
1239x2620	10.911	13.94	1238.875	2620.11176470588	undetermined
1239x3118	10.912	9.935	1239	3118.38088235294	adipose tissue
1240x1369	10.922	23.998	1240.25	1368.77823529412	adipose tissue
1240x1747	10.922	20.956	1240.25	1747.23882352941	connective tissue
1241x1622	10.931	21.961	1241.375	1622.205	adipose tissue
1241x2746	10.926	12.927	1240.75	2746.14088235294	adipose tissue
124x1613	1.992	22.038	124	1612.62529411765	undetermined
124x2615	1.989	13.98	123.625	2615.13529411765	undetermined
125x2485	2.002	15.029	125.25	2484.62735294118	undetermined
125x2739	1.997	12.984	124.625	2739.04941176471	undetermined
126x2362	2.01	16.014	126.25	2362.08176470588	undetermined
128x2239	2.022	17.002	127.75	2239.16294117647	undetermined
1375x1614	12.002	22.023	1375.25	1614.49147058824	invasive cancer
1376x1491	12.009	23.017	1376.125	1490.82617647059	adipose tissue
