Row.names	x	y	pixel_x	pixel_y	label
1000x2253	9.001	16.953	1000.125	2252.69023529412	cancer in situ
1001x1248	9.01	25.003	1001.25	1247.86082352941	cancer in situ
1110x2627	9.88	13.954	1110	2627.036	connective tissue
1110x2879	9.881	11.939	1110.125	2878.55541176471	connective tissue
1110x3124	9.88	9.969	1110	3124.45776470588	connective tissue
1111x2001	9.885	18.967	1110.625	2001.29564705882	cancer in situ
1111x2251	9.891	16.964	1111.375	2251.31717647059	cancer in situ
1111x2754	9.89	12.937	1111.25	2753.98152941176	connective tissue
1111x2999	9.89	10.978	1111.25	2998.51082352941	connective tissue
1111x746	9.888	29.026	1111	745.695764705883	cancer in situ
1112x1123	9.894	26.003	1111.75	1123.03729411765	cancer in situ
1112x1875	9.896	19.975	1112	1875.47352941176	cancer in situ
1112x2125	9.892	17.974	1111.5	2125.24541176471	cancer in situ
1112x367	9.895	32.058	1111.875	367.230823529412	invasive cancer
1112x620	9.895	30.033	1111.875	619.998470588235	invasive cancer
1112x871	9.896	28.025	1112	870.644117647059	cancer in situ
1112x993	9.899	27.046	1112.375	992.846352941177	cancer in situ
1113x1623	9.902	21.996	1112.75	1623.20517647059	connective tissue
1113x1752	9.902	20.962	1112.75	1752.27270588235	undetermined
1113x2377	9.902	15.958	1112.75	2376.88964705882	cancer in situ
1113x2499	9.903	14.976	1112.875	2499.46635294118	undetermined
1113x494	9.906	31.046	1113.25	493.552235294118	invasive cancer
1114x1250	9.908	24.987	1113.5	1249.858	cancer in situ
1114x1372	9.91	24.011	1113.75	1371.68576470588	cancer in situ
1114x1498	9.914	22.996	1114.25	1498.38164705882	connective tissue
1114x239	9.914	33.082	1114.25	239.411529411765	invasive cancer
1231x1878	10.851	19.958	1231.375	1877.59552941176	cancer in situ
1235x1256	10.88	24.939	1235	1255.84952941176	cancer in situ
1236x2380	10.892	15.937	1236.5	2379.51094117647	cancer in situ
1236x2879	10.889	11.933	1236.125	2879.30435294118	connective tissue
1238x3129	10.904	9.932	1238	3129.07623529412	connective tissue
1238x3253	10.904	8.937	1238	3253.27564705882	undetermined
1239x1377	10.913	23.97	1239.125	1376.80352941176	undetermined
1239x2006	10.915	18.932	1239.375	2005.66447058824	cancer in situ
1239x2130	10.91	17.936	1238.75	2129.98870588235	cancer in situ
1239x750	10.912	28.991	1239	750.064588235294	cancer in situ
1240x498	10.918	31.014	1239.75	497.546588235294	cancer in situ
1241x1125	10.931	25.99	1241.375	1124.66	cancer in situ
1241x1503	10.93	22.958	1241.25	1503.12494117647	connective tissue
1241x2507	10.931	14.919	1241.375	2506.58129411765	cancer in situ
1241x2759	10.931	12.9	1241.375	2758.6	connective tissue
1241x875	10.929	27.991	1241.125	874.888117647059	cancer in situ
1242x1000	10.932	26.987	1241.5	1000.21094117647	cancer in situ
1242x1753	10.937	20.958	1242.125	1752.772	cancer in situ
1242x2254	10.938	16.943	1242.25	2253.93847058823	cancer in situ
1242x2629	10.934	13.936	1241.75	2629.28282352941	connective tissue
1242x623	10.937	30.005	1242.125	623.493529411764	cancer in situ
1243x1632	10.946	21.924	1243.25	1632.19247058824	cancer in situ
1243x243	10.943	33.051	1242.875	243.281058823529	invasive cancer
1243x371	10.944	32.029	1243	370.850705882353	invasive cancer
1371x1368	11.97	24.042	1371.25	1367.81623529412	connective tissue
1372x867	11.975	28.053	1371.875	867.149058823529	cancer in situ
1373x489	11.981	31.081	1372.625	489.183411764706	cancer in situ
1374x1619	11.994	22.031	1374.25	1618.83635294118	cancer in situ
1374x2874	11.994	11.979	1374.25	2873.56247058824	connective tissue
1374x361	11.992	32.104	1374	361.488941176471	undetermined
1375x2123	11.998	17.995	1374.75	2122.62411764706	cancer in situ
1376x111	12.009	34.112	1376.125	110.843294117647	undetermined
1376x1871	12.012	20.01	1376.5	1871.10470588235	cancer in situ
1376x1997	12.012	19.004	1376.5	1996.67717647059	cancer in situ
1376x237	12.01	33.101	1376.25	237.039882352941	undetermined
1376x2624	12.006	13.976	1375.75	2624.28988235294	connective tissue
1376x2995	12.01	11.006	1376.25	2995.01576470588	connective tissue
1376x614	12.008	30.078	1376	614.381411764706	cancer in situ
1376x990	12.012	27.068	1376.5	990.100235294118	cancer in situ
1377x1495	12.013	23.022	1376.625	1495.13623529412	cancer in situ
1377x2373	12.016	15.99	1377	2372.89529411765	cancer in situ
1377x2748	12.018	12.984	1377.25	2748.11482352941	connective tissue
1377x738	12.014	29.088	1376.75	737.956705882353	cancer in situ
1378x1746	12.023	21.011	1377.875	1746.15635294118	cancer in situ
1378x2245	12.026	17.016	1378.25	2244.82635294118	cancer in situ
1378x2497	12.022	14.993	1377.75	2497.34435294118	undetermined
1378x3123	12.021	9.984	1377.625	3122.58541176471	connective tissue
1378x3244	12.024	9.008	1378	3244.41317647059	undetermined
1379x1117	12.03	26.052	1378.75	1116.92094117647	cancer in situ
1379x1245	12.029	25.027	1378.625	1244.86505882353	cancer in situ
1495x2996	12.958	10.998	1494.75	2996.01435294118	connective tissue
