Row.names	x	y	pixel_x	pixel_y	label
1003x1910	9.024	19.913	1003	1910.28044117647	cancer in situ
1003x2419	9.024	15.892	1003	2419.41	cancer in situ
1103x1905	9.826	19.955	1103.25	1904.9625	cancer in situ
1104x2036	9.836	18.924	1104.5	2035.50529411765	cancer in situ
1105x2798	9.84	12.905	1105	2797.61691176471	cancer in situ
1106x1653	9.844	21.948	1105.5	1652.61352941176	connective tissue
1107x2420	9.859	15.891	1107.375	2419.53661764706	undetermined
1109x2668	9.869	13.925	1108.625	2668.46691176471	undetermined
1110x2159	9.881	17.95	1110.125	2158.83088235294	undetermined
1112x1782	9.892	20.924	1111.5	1782.27	connective tissue
1112x2545	9.9	14.901	1112.5	2544.88808823529	undetermined
1114x2291	9.916	16.903	1114.5	2291.39955882353	undetermined
1116x2925	9.93	11.897	1116.25	2925.2475	cancer in situ
1221x2934	10.771	11.828	1221.375	2933.98411764706	cancer in situ
1226x2305	10.805	16.797	1225.625	2304.82102941176	connective tissue
1226x2556	10.804	14.812	1225.5	2556.15705882353	undetermined
1227x2176	10.814	17.814	1226.75	2176.05088235294	connective tissue
1227x2429	10.813	15.813	1226.625	2429.41279411765	undetermined
1228x1918	10.825	19.853	1228.125	1917.8775	connective tissue
1228x2042	10.827	18.871	1228.375	2042.21602941176	connective tissue
1228x2809	10.825	12.819	1228.125	2808.50602941176	cancer in situ
1229x1669	10.835	21.817	1229.375	1669.20044117647	connective tissue
1229x1793	10.829	20.839	1228.625	1793.0325	connective tissue
1229x3185	10.832	9.842	1229	3185.44676470588	undetermined
1230x3061	10.839	10.825	1229.875	3060.98161764706	invasive cancer
1232x1540	10.852	22.836	1231.5	1540.17705882353	connective tissue
1232x2682	10.856	13.816	1232	2682.26823529412	cancer in situ
1379x2792	12.033	12.953	1379.125	2791.53926470588	cancer in situ
1380x1779	12.041	20.949	1380.125	1779.10455882353	cancer in situ
1380x1905	12.041	19.951	1380.125	1905.46897058824	undetermined
1381x3416	12.05	8.018	1381.25	3416.39735294118	invasive cancer
1382x2162	12.052	17.924	1381.5	2162.12294117647	connective tissue
1382x3043	12.052	10.965	1381.5	3043.25514705882	invasive cancer
1383x2034	12.063	18.937	1382.875	2033.85926470588	connective tissue
1383x2283	12.064	16.97	1383	2282.91617647059	connective tissue
1384x1524	12.073	22.963	1384.125	1524.09661764706	connective tissue
1384x2540	12.073	14.943	1384.125	2539.57014705882	immune infiltrate
1384x2919	12.076	11.946	1384.5	2919.04323529412	invasive cancer
1385x2662	12.079	13.975	1384.875	2662.13602941176	cancer in situ
1386x2414	12.087	15.936	1385.875	2413.83882352941	connective tissue
1386x3169	12.087	9.969	1385.875	3169.36632352941	invasive cancer
1386x3291	12.087	9.011	1385.875	3290.66602941176	invasive cancer
1390x3543	12.116	7.015	1389.5	3543.39485294118	invasive cancer
1392x1640	12.136	22.047	1392	1640.07838235294	connective tissue
1493x2919	12.947	11.944	1493.375	2919.29647058824	invasive cancer
1497x2661	12.977	13.984	1497.125	2660.99647058824	immune infiltrate
1498x3544	12.987	7.011	1498.375	3543.90132352941	invasive cancer
1499x1643	12.993	22.024	1499.125	1642.99058823529	connective tissue
1500x2161	12.996	17.933	1499.5	2160.98338235294	undetermined
1501x2415	13.009	15.928	1501.125	2414.85176470588	connective tissue
1501x2540	13.009	14.939	1501.125	2540.07661764706	undetermined
1503x3042	13.023	10.971	1502.875	3042.49544117647	invasive cancer
