x	y	new_x	new_y	pixel_x	pixel_y	selected
21	10	20.966	9.968	4351.96	1958.19	1
16	10	15.972	9.994	3263.43	1963.87	1
15	10	15.004	9.998	3052.43	1964.74	1
18	10	18.014	10.028	3708.52	1971.29	1
12	10	12.027	10.035	2403.54	1972.82	1
13	10	13.068	10.047	2630.45	1975.44	1
14	10	14.025	10.053	2839.04	1976.75	1
17	10	16.981	10.05	3483.36	1976.09	1
22	11	22.001	10.925	4577.56	2167.15	1
11	11	10.911	10.958	2160.29	2174.36	1
21	11	20.938	10.944	4345.86	2171.3	1
10	11	9.913	10.98	1942.76	2179.16	1
26	11	26.064	10.984	5463.17	2180.04	1
20	11	20.123	10.979	4168.22	2178.94	1
19	11	18.977	10.987	3918.42	2180.69	1
17	11	17.015	10.993	3490.77	2182	1
9	11	9.042	11.004	1752.9	2184.4	1
25	11	25.103	11.01	5253.7	2185.71	1
14	11	14.032	11.018	2840.57	2187.46	1
15	11	14.965	11.006	3043.93	2184.84	1
16	11	15.996	11.021	3268.66	2188.11	1
18	11	17.993	11.014	3703.94	2186.59	1
23	11	23.12	11.045	4821.47	2193.36	1
24	11	24.149	11.031	5045.76	2190.3	1
13	11	13.054	11.04	2627.4	2192.26	1
8	11	7.893	11.064	1502.46	2197.5	1
12	11	12.036	11.072	2405.5	2199.25	1
22	12	22.016	11.902	4580.83	2380.48	1
11	12	10.909	11.961	2159.85	2393.37	1
10	12	9.865	11.958	1932.29	2392.71	1
9	12	9.087	11.979	1762.71	2397.3	1
17	12	17.017	11.987	3491.21	2399.04	1
15	12	15.002	11.998	3052	2401.45	1
25	12	25.117	12.01	5256.75	2404.07	1
8	12	7.923	12.01	1509	2404.07	1
14	12	14.031	12.015	2840.35	2405.16	1
16	12	15.997	12.023	3268.88	2406.9	1
20	12	20.155	12.024	4175.19	2407.12	1
5	12	4.965	12.02	864.25	2406.25	1
6	12	5.85	12.018	1057.15	2405.81	1
21	12	20.918	12.03	4341.5	2408.43	1
7	12	6.944	12.03	1295.61	2408.43	1
19	12	18.99	12.036	3921.26	2409.74	1
23	12	23.162	12.043	4830.62	2411.27	1
18	12	18.003	12.031	3706.12	2408.65	1
12	12	12.063	12.056	2411.39	2414.11	1
13	12	13.069	12.045	2630.66	2411.71	1
11	13	10.919	12.939	2162.03	2606.92	1
22	13	22.017	12.948	4581.05	2608.88	1
21	13	20.996	12.939	4358.5	2606.92	1
10	13	9.861	12.966	1931.42	2612.81	1
20	13	20.108	12.972	4164.95	2614.12	1
19	13	19.036	12.975	3931.28	2614.78	1
9	13	9.077	12.983	1760.53	2616.52	1
17	13	16.897	13.001	3465.05	2620.45	1
18	13	18.021	12.985	3710.05	2616.96	1
16	13	16.048	13.002	3279.99	2620.67	1
15	13	14.986	13.003	3048.51	2620.89	1
6	13	5.891	13.002	1066.09	2620.67	1
8	13	7.913	13.006	1506.82	2621.55	1
24	13	24.169	13.029	5050.12	2626.57	1
4	13	3.938	13.018	640.39	2624.17	1
7	13	6.95	13.027	1296.91	2626.13	1
23	13	23.109	13.039	4819.07	2628.75	1
25	13	25.093	13.037	5251.52	2628.31	1
5	13	4.892	13.038	848.33	2628.53	1
14	13	14.048	13.032	2844.06	2627.22	1
13	13	13.059	13.044	2628.49	2629.84	1
12	13	12.06	13.109	2410.73	2644.04	1
22	14	21.975	13.955	4571.89	2828.76	1
11	14	10.939	13.964	2166.39	2830.73	1
18	14	17.99	14.005	3703.29	2839.68	1
19	14	19.007	13.993	3924.96	2837.06	1
17	14	16.957	13.995	3478.13	2837.5	1
24	14	24.137	14.022	5043.14	2843.39	1
26	14	26.056	14.003	5461.43	2839.24	1
15	14	14.998	14.002	3051.13	2839.02	1
16	14	16.05	14.008	3280.43	2840.34	1
21	14	20.952	14.018	4348.91	2842.52	1
4	14	3.911	14.02	634.51	2842.96	1
8	14	7.951	14.021	1515.1	2843.17	1
23	14	23.105	14.028	4818.2	2844.7	1
10	14	9.866	14.035	1932.51	2846.23	1
5	14	4.931	14.025	856.84	2844.05	1
7	14	6.946	14.037	1296.04	2846.67	1
25	14	25.146	14.035	5263.07	2846.23	1
14	14	14.029	14.046	2839.91	2848.63	1
13	14	13.065	14.056	2629.79	2850.82	1
20	14	20.134	14.064	4170.61	2852.56	1
12	14	12.081	14.077	2415.31	2855.4	1
6	14	5.949	14.089	1078.73	2858.02	1
9	14	9.028	14.086	1749.85	2857.37	1
22	15	22.014	14.938	4580.4	3043.4	1
11	15	10.869	14.962	2151.13	3048.64	1
10	15	9.912	14.975	1942.54	3051.48	1
9	15	9.059	14.983	1756.61	3053.23	1
19	15	19.015	14.989	3926.71	3054.54	1
26	15	26.038	14.985	5457.5	3053.67	1
21	15	20.964	14.995	4351.53	3055.85	1
16	15	15.984	14.997	3266.04	3056.29	1
20	15	20.138	15.009	4171.49	3058.91	1
6	15	5.909	15.01	1070.01	3059.12	1
8	15	7.91	15.014	1506.16	3060	1
25	15	25.131	15.02	5259.8	3061.31	1
14	15	14.082	15.021	2851.47	3061.53	1
15	15	15.015	15.026	3054.83	3062.62	1
5	15	4.907	15.031	851.6	3063.71	1
24	15	24.154	15.025	5046.85	3062.4	1
4	15	3.939	15.029	640.61	3063.27	1
12	15	12.077	15.046	2414.44	3066.99	1
18	15	18.018	15.034	3709.39	3064.37	1
7	15	6.908	15.037	1287.76	3065.02	1
13	15	13.065	15.036	2629.79	3064.8	1
23	15	23.142	15.049	4826.26	3067.64	1
3	15	2.898	15.06	413.7	3070.04	1
17	15	16.971	15.056	3481.18	3069.17	1
22	16	21.987	15.957	4574.51	3265.9	1
10	16	9.879	15.98	1935.34	3270.93	1
21	16	20.98	15.951	4355.02	3264.59	1
20	16	20.138	15.984	4171.49	3271.8	1
9	16	9.08	15.992	1761.19	3273.55	1
17	16	17.013	15.993	3490.33	3273.77	1
4	16	3.909	16.026	634.07	3280.97	1
19	16	19.006	15.997	3924.75	3274.64	1
8	16	7.932	15.998	1510.96	3274.86	1
16	16	16.021	16.006	3274.11	3276.6	1
25	16	25.142	15.998	5262.2	3274.86	1
7	16	6.903	16.044	1286.67	3284.9	1
13	16	13.113	16.014	2640.26	3278.35	1
15	16	14.973	16.019	3045.68	3279.44	1
5	16	4.936	16.022	857.92	3280.1	1
6	16	5.913	16.03	1070.88	3281.84	1
24	16	24.134	16.031	5042.49	3282.06	1
18	16	17.957	16.037	3696.1	3283.37	1
3	16	2.951	16.056	425.26	3287.52	1
2	16	1.982	16.06	214.05	3288.4	1
14	16	14.043	16.06	2842.97	3288.4	1
23	16	23.147	16.065	4827.35	3289.49	1
12	16	12.038	16.079	2405.94	3292.54	1
11	17	10.911	16.979	2160.29	3489.06	1
22	17	22.021	16.991	4581.92	3491.68	1
17	17	17.012	17.006	3490.12	3494.96	1
16	17	16.04	17.01	3278.25	3495.83	1
4	17	3.985	17.015	650.64	3496.92	1
6	17	5.88	17.014	1063.69	3496.7	1
24	17	24.148	17.021	5045.54	3498.23	1
19	17	18.99	17.024	3921.26	3498.89	1
8	17	7.969	17.03	1519.02	3500.2	1
20	17	20.151	17.031	4174.32	3500.42	1
10	17	9.9	17.035	1939.92	3501.29	1
21	17	20.977	17.033	4354.36	3500.85	1
5	17	4.881	17.04	845.94	3502.38	1
14	17	14.027	17.038	2839.48	3501.94	1
25	17	25.106	17.05	5254.35	3504.56	1
18	17	17.977	17.055	3700.46	3505.66	1
13	17	13.094	17.065	2636.11	3507.84	1
7	17	6.959	17.06	1298.88	3506.75	1
