x	y	new_x	new_y	pixel_x	pixel_y	selected
4	13	3.965	13.06	857.9	3515.84	1
6	14	5.851	14.081	1403.61	3813.5	1
7	14	6.913	14.08	1710.89	3813.2	1
4	14	3.882	14.084	833.89	3814.37	1
5	14	4.855	14.08	1115.42	3813.2	1
9	15	8.792	15.045	2254.57	4094.53	1
8	15	7.884	15.067	1991.84	4100.94	1
4	15	3.915	15.087	843.44	4106.77	1
6	15	5.821	15.085	1394.93	4106.19	1
5	15	4.857	15.096	1116	4109.4	1
10	15	9.848	15.11	2560.11	4113.48	1
3	15	2.881	15.12	544.26	4116.4	1
7	15	6.891	15.098	1704.52	4109.98	1
10	16	9.813	15.929	2549.99	4352.24	1
11	16	10.842	16.044	2847.72	4385.77	1
5	16	4.812	16.071	1102.98	4393.64	1
8	16	7.908	16.067	1998.79	4392.47	1
7	16	6.871	16.075	1698.74	4394.81	1
9	16	8.922	16.078	2292.18	4395.68	1
6	16	5.849	16.086	1403.03	4398.01	1
3	16	2.886	16.12	545.7	4407.92	1
4	16	3.947	16.107	852.7	4404.13	1
12	16	12.091	16.125	3209.11	4409.38	1
11	17	10.853	17.012	2850.9	4667.97	1
4	17	3.921	17.088	845.17	4690.13	1
10	17	9.86	17.068	2563.59	4684.29	1
6	17	5.778	17.063	1382.48	4682.84	1
12	17	12.049	17.09	3196.96	4690.71	1
8	17	7.917	17.083	2001.39	4688.67	1
7	17	6.864	17.097	1696.71	4692.75	1
14	17	13.981	17.102	3755.97	4694.21	1
5	17	4.847	17.1	1113.11	4693.62	1
15	17	15.005	17.108	4052.26	4695.96	1
3	17	2.879	17.12	543.68	4699.45	1
13	17	12.844	17.161	3426.99	4711.41	1
9	17	8.916	17.184	2290.45	4718.11	1
5	18	4.827	18.024	1107.32	4963	1
11	18	10.831	18.056	2844.54	4972.33	1
16	18	15.945	18.061	4324.24	4973.78	1
18	18	17.952	18.085	4904.96	4980.78	1
8	18	7.903	18.084	1997.34	4980.49	1
4	18	3.921	18.088	845.17	4981.65	1
6	18	5.87	18.09	1409.1	4982.24	1
10	18	9.811	18.096	2549.41	4983.99	1
9	18	8.992	18.113	2312.44	4988.94	1
12	18	12.027	18.124	3190.59	4992.15	1
7	18	6.848	18.12	1692.08	4990.98	1
15	18	14.955	18.123	4037.79	4991.86	1
3	18	2.873	18.128	541.94	4993.32	1
20	19	20.05	19.085	5512	5272.31	1
19	19	18.96	19.097	5196.61	5275.81	1
4	19	3.888	19.11	835.62	5279.6	1
12	19	12.025	19.116	3190.01	5281.35	1
15	19	14.968	19.1	4041.55	5276.68	1
18	19	17.946	19.105	4903.22	5278.14	1
16	19	15.98	19.11	4334.37	5279.6	1
10	19	9.899	19.118	2574.87	5281.93	1
3	19	2.92	19.137	555.54	5287.47	1
13	19	13.006	19.127	3473.86	5284.55	1
8	19	7.864	19.153	1986.06	5292.13	1
7	19	6.909	19.168	1709.73	5296.51	1
6	19	5.832	19.182	1398.11	5300.59	1
11	19	10.833	19.21	2845.12	5308.75	1
9	19	8.911	19.208	2289	5308.17	1
5	19	4.865	19.204	1118.31	5307	1
22	20	21.877	20.011	6040.63	5542.27	1
11	20	10.834	20.049	2845.41	5553.34	1
15	20	14.999	20.052	4050.52	5554.22	1
6	20	5.864	20.076	1407.37	5561.22	1
12	20	12.03	20.089	3191.46	5565	1
14	20	13.924	20.098	3739.48	5567.63	1
8	20	7.921	20.101	2002.55	5568.5	1
20	20	20.079	20.106	5520.39	5569.96	1
16	20	15.952	20.111	4326.27	5571.42	1
10	20	9.836	20.112	2556.64	5571.71	1
9	20	8.939	20.116	2297.1	5572.88	1
13	20	13.041	20.122	3483.99	5574.63	1
5	20	4.853	20.136	1114.84	5578.71	1
7	20	6.857	20.116	1694.69	5572.88	1
3	20	2.844	20.14	533.55	5579.87	1
4	20	3.955	20.158	855.01	5585.12	1
11	21	10.795	21.005	2834.12	5832.05	1
22	21	21.918	21.035	6052.49	5840.79	1
10	21	9.871	21.02	2566.77	5836.42	1
6	21	5.899	21.034	1417.5	5840.5	1
8	21	7.895	21.027	1995.03	5838.46	1
21	21	20.987	21.062	5783.11	5848.66	1
9	21	8.965	21.049	2304.62	5844.87	1
7	21	6.841	21.053	1690.06	5846.04	1
5	21	4.805	21.05	1100.95	5845.16	1
13	21	13.003	21.085	3472.99	5855.37	1
12	21	12.036	21.086	3193.2	5855.66	1
4	21	3.927	21.081	846.91	5854.2	1
14	21	13.963	21.099	3750.76	5859.45	1
15	21	14.958	21.175	4038.66	5881.61	1
4	22	3.893	22.017	837.07	6127.07	1
3	22	2.922	22.017	556.12	6127.07	1
10	22	9.875	22.021	2567.93	6128.24	1
11	22	10.812	22.028	2839.04	6130.28	1
6	22	5.834	22.038	1398.69	6133.2	1
12	22	12.071	22.054	3203.32	6137.86	1
13	22	13.021	22.056	3478.2	6138.44	1
7	22	6.887	22.055	1703.37	6138.15	1
21	22	21	22.06	5786.88	6139.61	1
8	22	7.842	22.074	1979.69	6143.69	1
14	22	14.013	22.08	3765.23	6145.44	1
9	22	9.059	22.1	2331.82	6151.27	1
15	22	14.985	22.095	4046.47	6149.81	1
23	22	23.089	22.107	6391.31	6153.31	1
5	22	4.884	22.123	1123.81	6157.98	1
18	22	17.932	22.136	4899.17	6161.77	1
17	22	16.955	22.145	4616.48	6164.39	1
20	22	20.014	22.148	5501.58	6165.26	1
16	22	15.989	22.207	4336.97	6182.46	1
21	23	20.931	22.961	5766.91	6402.28	1
22	23	21.92	22.966	6053.07	6403.74	1
20	23	20.078	22.968	5520.1	6404.32	1
23	23	23.108	23.015	6396.81	6418.02	1
18	23	17.932	22.978	4899.17	6407.23	1
11	23	10.834	23	2845.41	6413.65	1
17	23	16.918	23.002	4605.77	6414.23	1
16	23	15.935	23.015	4321.35	6418.02	1
5	23	4.845	23.009	1112.53	6416.27	1
12	23	12.054	23.037	3198.41	6424.43	1
19	23	18.986	23.023	5204.14	6420.35	1
24	23	24.094	23.11	6682.1	6445.72	1
13	23	13.022	23.036	3478.49	6424.14	1
15	23	15.021	23.04	4056.89	6425.31	1
3	23	2.935	23.082	559.88	6437.55	1
6	23	5.835	23.081	1398.98	6437.26	1
10	23	9.882	23.089	2569.95	6439.59	1
8	23	7.866	23.088	1986.63	6439.3	1
9	23	8.982	23.093	2309.54	6440.76	1
7	23	6.882	23.106	1701.92	6444.55	1
4	23	3.874	23.161	831.57	6460.58	1
9	24	8.956	23.977	2302.02	6698.47	1
10	24	9.897	23.986	2574.29	6701.1	1
11	24	10.856	23.985	2851.77	6700.8	1
18	24	17.913	24.007	4893.67	6707.22	1
8	24	7.873	23.999	1988.66	6704.88	1
21	24	20.948	24.009	5771.83	6707.8	1
3	24	2.912	24.038	553.23	6716.25	1
7	24	6.887	24.021	1703.37	6711.3	1
6	24	5.861	24.028	1406.5	6713.34	1
5	24	4.809	24.03	1102.11	6713.92	1
4	24	3.948	24.036	852.99	6715.67	1
13	24	13.016	24.044	3476.75	6718	1
12	24	12.047	24.051	3196.38	6720.04	1
15	24	14.986	24.052	4046.76	6720.34	1
20	24	20.067	24.056	5516.92	6721.5	1
14	24	13.99	24.053	3758.58	6720.63	1
24	24	24.082	24.061	6678.63	6722.96	1
19	24	18.976	24.089	5201.24	6731.12	1
10	25	9.768	24.876	2536.97	6960.56	1
24	25	24.099	24.948	6683.55	6981.55	1
25	25	25.075	24.96	6965.95	6985.04	1
7	25	6.907	25.004	1709.15	6997.87	1
11	25	10.847	24.977	2849.17	6990	1
22	25	21.932	25.014	6056.54	7000.79	1
17	25	16.925	25.011	4607.8	6999.91	1
15	25	14.995	25.039	4049.37	7008.08	1
4	25	3.892	25.03	836.78	7005.45	1
5	25	4.845	25.036	1112.53	7007.2	1
16	25	15.981	25.043	4334.66	7009.24	1
23	25	23.179	25.059	6417.36	7013.91	1
6	25	5.838	25.048	1399.85	7010.7	1
13	25	13.065	25.053	3490.93	7012.16	1
3	25	2.945	25.057	562.77	7013.32	1
14	25	13.992	25.06	3759.15	7014.2	1
20	25	20.034	25.077	5507.37	7019.15	1
8	25	7.9	25.112	1996.47	7029.36	1
19	25	18.981	25.069	5202.69	7016.82	1
21	25	21.074	25.088	5808.29	7022.36	1
9	25	8.978	25.105	2308.38	7027.32	1
12	25	12.08	25.124	3205.93	7032.86	1
18	25	17.96	25.133	4907.27	7035.48	1
21	26	20.904	25.96	5759.1	7276.57	1
10	26	9.866	25.976	2565.32	7281.24	1
11	26	10.844	25.987	2848.3	7284.45	1
22	26	21.961	25.985	6064.93	7283.86	1
20	26	20.067	25.991	5516.92	7285.61	1
18	26	17.995	26	4917.4	7288.24	1
7	26	6.877	26.009	1700.47	7290.86	1
6	26	5.839	26.009	1400.13	7290.86	1
13	26	13.043	26.017	3484.57	7293.19	1
17	26	16.938	26.011	4611.56	7291.44	1
