x	y	new_x	new_y	pixel_x	pixel_y	selected
25	13	24.914	13.042	6930.58	3510.24	1
24	13	24.032	13.068	6674.96	3517.82	1
22	14	21.859	13.955	6045.2	3776.38	1
24	14	24.057	14.056	6682.21	3805.82	1
25	14	24.921	14.048	6932.6	3803.49	1
23	14	23.026	14.096	6383.41	3817.48	1
22	15	21.876	14.934	6050.13	4061.76	1
21	15	20.853	14.976	5753.65	4074	1
20	15	19.976	14.992	5499.48	4078.67	1
23	15	23.044	15.075	6388.63	4102.86	1
25	15	24.974	15.079	6947.96	4104.03	1
24	15	24.006	15.082	6667.43	4104.9	1
22	16	21.88	15.96	6051.28	4360.84	1
21	16	20.844	15.972	5751.04	4364.34	1
20	16	20.021	15.999	5512.52	4372.21	1
19	16	18.844	16.007	5171.41	4374.54	1
26	16	25.879	16.011	7210.25	4375.71	1
25	16	25.014	16.05	6959.56	4387.07	1
24	16	23.999	16.077	6665.4	4394.95	1
23	16	23.078	16.088	6398.48	4398.15	1
22	17	21.846	16.969	6041.43	4654.96	1
21	17	20.853	16.971	5753.65	4655.55	1
20	17	20.024	16.99	5513.39	4661.08	1
26	17	25.959	17.011	7233.43	4667.21	1
17	17	16.891	17.018	4605.41	4669.25	1
25	17	24.98	17.034	6949.7	4673.91	1
18	17	17.847	17.039	4882.47	4675.37	1
19	17	18.862	17.036	5176.63	4674.49	1
24	17	24.051	17.06	6680.47	4681.49	1
23	17	23.024	17.116	6382.83	4697.81	1
26	18	25.923	17.939	7223	4937.72	1
22	18	21.827	17.959	6035.92	4943.55	1
21	18	20.908	17.977	5769.59	4948.8	1
17	18	16.879	18.029	4601.93	4963.95	1
20	18	20.018	18.003	5511.65	4956.37	1
18	18	17.871	18.034	4889.43	4965.41	1
25	18	24.984	18.044	6950.86	4968.33	1
19	18	18.847	18.04	5172.28	4967.16	1
16	18	15.901	18.054	4318.5	4971.24	1
24	18	24.024	18.069	6672.64	4975.61	1
23	18	23.029	18.084	6384.28	4979.99	1
15	18	14.825	18.096	4006.66	4983.48	1
22	19	21.877	18.944	6050.42	5230.68	1
21	19	20.861	18.967	5755.97	5237.38	1
20	19	20.018	18.993	5511.65	5244.96	1
27	19	26.97	19.02	7526.43	5252.83	1
19	19	18.893	19.025	5185.62	5254.29	1
26	19	25.93	19.019	7225.03	5252.54	1
