x	y	new_x	new_y	pixel_x	pixel_y	selected
11	10	10.968	9.951	2899.13	2601.32	1
9	10	9.054	9.978	2342.46	2609.17	1
16	10	15.95	10.015	4348.11	2619.92	1
10	10	9.937	10.017	2599.27	2620.5	1
8	10	7.995	10.017	2034.45	2620.5	1
15	10	15.065	10.02	4090.72	2621.37	1
7	10	6.998	10.03	1744.48	2624.28	1
14	10	14.011	10.041	3784.17	2627.47	1
12	10	12.073	10.067	3220.51	2635.03	1
13	10	13.166	10.059	3538.41	2632.71	1
17	10	17.026	10.089	4661.06	2641.42	1
11	11	10.982	10.969	2903.2	2897.17	1
22	11	21.955	10.951	6094.63	2891.94	1
9	11	9.059	10.969	2343.91	2897.17	1
20	11	20.058	10.974	5542.9	2898.62	1
16	11	15.998	11.01	4362.07	2909.08	1
14	11	14.065	11.033	3799.87	2915.77	1
21	11	20.961	11.001	5805.53	2906.47	1
24	11	24.13	11.012	6727.22	2909.66	1
12	11	12.156	11.04	3244.65	2917.8	1
18	11	17.974	11.014	4936.78	2910.25	1
19	11	19.053	11.021	5250.6	2912.28	1
13	11	13.075	11.036	3511.94	2916.64	1
17	11	17.01	11.03	4656.41	2914.89	1
23	11	23.11	11.048	6430.56	2920.13	1
15	11	15.003	11.05	4072.69	2920.71	1
8	11	8.001	11.062	2036.2	2924.19	1
10	11	9.945	11.103	2601.6	2936.11	1
7	11	6.996	11.135	1743.9	2945.41	1
22	12	21.964	11.953	6097.25	3183.14	1
11	12	10.957	11.952	2895.93	3182.84	1
20	12	20.104	11.973	5556.28	3188.95	1
7	12	7.1	11.951	1774.15	3182.55	1
18	12	18.024	11.987	4951.32	3193.02	1
16	12	16.072	12.023	4383.6	3203.48	1
14	12	14.072	12.042	3801.91	3209	1
15	12	15.005	12.036	4073.27	3207.26	1
10	12	9.941	12.028	2600.43	3204.93	1
9	12	9.083	12.045	2350.89	3209.87	1
23	12	23.133	12.043	6437.24	3209.29	1
12	12	12.141	12.059	3240.29	3213.94	1
13	12	13.105	12.055	3520.66	3212.78	1
8	12	7.996	12.059	2034.74	3213.94	1
19	12	19.026	12.066	5242.75	3215.97	1
21	12	20.947	12.078	5801.46	3219.46	1
17	12	16.96	12.132	4641.87	3235.16	1
11	13	10.978	12.963	2902.04	3476.66	1
22	13	21.987	12.962	6103.94	3476.37	1
20	13	20.096	12.964	5553.95	3476.95	1
9	13	9.079	12.98	2349.73	3481.6	1
18	13	18.037	12.993	4955.1	3485.38	1
7	13	6.978	13.007	1738.66	3489.45	1
21	13	21.013	13.029	5820.66	3495.84	1
19	13	19.03	13.019	5243.91	3492.93	1
24	13	24.157	13.027	6735.07	3495.26	1
13	13	13.131	13.043	3528.23	3499.91	1
10	13	9.939	13.029	2599.85	3495.84	1
23	13	23.115	13.044	6432.01	3500.2	1
8	13	8.014	13.039	2039.98	3498.75	1
14	13	14.097	13.043	3809.18	3499.91	1
15	13	15.028	13.05	4079.96	3501.94	1
16	13	16.039	13.05	4374	3501.94	1
12	13	12.129	13.076	3236.8	3509.5	1
17	13	16.976	13.135	4646.52	3526.65	1
22	14	22.006	13.945	6109.46	3762.05	1
11	14	10.968	13.965	2899.13	3767.86	1
20	14	20.088	13.965	5551.63	3767.86	1
18	14	18.093	13.984	4971.39	3773.38	1
7	14	7.047	14.002	1758.73	3778.61	1
15	14	15.069	14.014	4091.88	3782.1	1
24	14	24.082	14.046	6713.26	3791.4	1
23	14	23.141	14.05	6439.57	3792.56	1
14	14	14.089	14.049	3806.85	3792.27	1
16	14	16.04	14.045	4374.29	3791.11	1
19	14	19.017	14.05	5240.13	3792.56	1
8	14	8.01	14.067	2038.81	3797.5	1
10	14	9.987	14.089	2613.81	3803.89	1
9	14	9.031	14.089	2335.77	3803.89	1
12	14	12.135	14.11	3238.55	3810	1
21	14	20.965	14.105	5806.7	3808.54	1
13	14	13.119	14.113	3524.74	3810.87	1
17	14	16.963	14.118	4642.74	3812.32	1
22	15	21.991	14.941	6105.1	4051.5	1
11	15	10.996	14.979	2907.27	4062.54	1
8	15	8.103	14.997	2065.86	4067.78	1
9	15	9.089	14.995	2352.64	4067.19	1
23	15	23.083	15.049	6422.7	4082.89	1
15	15	15.057	15.024	4088.39	4075.62	1
20	15	20.099	15.042	5554.82	4080.85	1
24	15	24.189	15.035	6744.38	4078.82	1
10	15	9.935	15.038	2598.69	4079.69	1
19	15	19.028	15.05	5243.33	4083.18	1
14	15	14.035	15.051	3791.15	4083.47	1
18	15	18.027	15.059	4952.2	4085.79	1
7	15	7.004	15.058	1746.23	4085.5	1
12	15	12.122	15.078	3234.76	4091.32	1
13	15	13.122	15.059	3525.61	4085.79	1
16	15	16.029	15.093	4371.09	4095.67	1
21	15	20.984	15.101	5812.22	4098	1
17	15	16.984	15.114	4648.85	4101.78	1
22	16	22.021	15.944	6113.83	4342.99	1
20	16	20.108	15.963	5557.44	4348.51	1
11	16	10.985	15.98	2904.07	4353.45	1
9	16	9.076	16.002	2348.85	4359.85	1
19	16	19.015	15.997	5239.55	4358.39	1
21	16	20.948	16.027	5801.75	4367.11	1
10	16	9.959	16.04	2605.67	4370.89	1
17	16	16.996	16.035	4652.34	4369.44	1
7	16	7.022	16.035	1751.46	4369.44	1
23	16	23.151	16.045	6442.48	4372.34	1
15	16	15.116	16.043	4105.55	4371.76	1
16	16	16.027	16.042	4370.51	4371.47	1
12	16	12.118	16.064	3233.6	4377.86	1
18	16	17.983	16.054	4939.4	4374.96	1
8	16	8.013	16.056	2039.69	4375.54	1
13	16	13.158	16.074	3536.08	4380.77	1
14	16	14.006	16.068	3782.71	4379.03	1
11	17	10.998	16.98	2907.86	4644.07	1
17	17	17.031	17.02	4662.52	4655.69	1
22	17	21.992	17.028	6105.39	4658.02	1
15	17	15.051	17.04	4086.65	4661.51	1
19	17	19.064	17.047	5253.8	4663.54	1
12	17	12.122	17.063	3234.76	4668.19	1
7	17	7.033	17.063	1754.66	4668.19	1
13	17	13.107	17.06	3521.25	4667.32	1
14	17	14.059	17.055	3798.13	4665.87	1
18	17	17.985	17.086	4939.98	4674.88	1
20	17	20.047	17.085	5539.7	4674.58	1
8	17	8.009	17.086	2038.52	4674.88	1
16	17	16.03	17.079	4371.38	4672.84	1
23	17	23.131	17.112	6436.66	4682.43	1
21	17	21.007	17.108	5818.91	4681.27	1
9	17	9.067	17.117	2346.24	4683.88	1
10	17	9.967	17.123	2608	4685.63	1
11	18	10.952	17.987	2894.48	4936.72	1
20	18	20.128	17.968	5563.26	4931.2	1
17	18	17.039	17.985	4664.84	4936.14	1
22	18	21.992	17.99	6105.39	4937.59	1
18	18	18.001	18.016	4944.63	4945.15	1
9	18	9.085	18.047	2351.47	4954.16	1
23	18	23.103	18.053	6428.52	4955.9	1
21	18	20.98	18.031	5811.06	4949.51	1
16	18	15.996	18.047	4361.49	4954.16	1
7	18	7.031	18.053	1754.08	4955.9	1
19	18	19.025	18.05	5242.46	4955.03	1
13	18	13.176	18.06	3541.31	4957.94	1
15	18	15.108	18.07	4103.22	4960.84	1
12	18	12.096	18.083	3227.2	4964.62	1
8	18	8.015	18.078	2040.27	4963.17	1
14	18	14.028	18.082	3789.11	4964.33	1
10	18	9.987	18.09	2613.81	4966.66	1
22	19	22.036	18.971	6118.19	5222.69	1
20	19	20.088	18.997	5551.63	5230.25	1
16	19	16.015	19.014	4367.02	5235.19	1
21	19	20.996	19.047	5815.71	5244.78	1
17	19	17.03	19.027	4662.23	5238.96	1
19	19	19.041	19.026	5247.11	5238.67	1
18	19	18.045	19.041	4957.43	5243.03	1
11	19	11.01	19.072	2911.35	5252.04	1
15	19	15.052	19.066	4086.94	5250.3	1
13	19	13.124	19.088	3526.19	5256.69	1
12	19	12.128	19.084	3236.51	5255.53	1
14	19	14.093	19.076	3808.02	5253.2	1
9	19	9.067	19.103	2346.24	5261.05	1
7	19	7.024	19.128	1752.04	5268.32	1
8	19	8.02	19.129	2041.72	5268.61	1
10	19	9.949	19.147	2602.76	5273.84	1
22	20	22.003	19.94	6108.59	5504.3	1
11	20	10.989	20.015	2905.24	5526.09	1
17	20	17.037	20.009	4664.26	5524.35	1
19	20	19.102	20.001	5264.85	5522.03	1
18	20	17.969	20.022	4935.33	5528.13	1
12	20	12.139	20.061	3239.71	5539.46	1
16	20	16.006	20.037	4364.4	5532.49	1
20	20	20.063	20.047	5544.35	5535.39	1
14	20	14.035	20.046	3791.15	5535.1	1
13	20	13.118	20.055	3524.44	5537.72	1
15	20	15.104	20.043	4102.06	5534.23	1
23	20	23.138	20.072	6438.7	5542.66	1
