x	y	new_x	new_y	pixel_x	pixel_y	selected
11	5	10.853	4.981	2865.99	1154.72	1
9	5	8.906	4.971	2299.66	1151.82	1
10	5	9.822	5.068	2566.1	1179.96	1
8	6	7.83	5.953	1986.68	1436.66	1
11	6	10.83	5.975	2859.3	1443.04	1
12	6	11.962	6.021	3188.57	1456.39	1
9	6	8.896	6.002	2296.75	1450.87	1
10	6	9.814	6.01	2563.77	1453.19	1
10	7	9.929	6.809	2597.22	1684.95	1
11	7	10.826	6.916	2858.14	1715.99	1
9	7	8.878	6.903	2291.51	1712.22	1
8	7	7.846	6.925	1991.33	1718.6	1
7	7	6.851	6.967	1701.91	1730.78	1
12	7	12.005	6.996	3201.08	1739.19	1
13	7	12.935	6.986	3471.59	1736.29	1
7	8	6.86	7.922	1704.53	2007.79	1
11	8	10.859	7.943	2867.74	2013.88	1
8	8	7.787	7.947	1974.17	2015.04	1
9	8	9.024	7.951	2333.98	2016.2	1
10	8	9.822	7.948	2566.1	2015.33	1
13	8	12.927	7.972	3469.27	2022.29	1
14	8	13.894	7.944	3750.54	2014.17	1
12	8	11.981	7.974	3194.1	2022.87	1
16	9	15.784	8.863	4300.3	2280.73	1
9	9	8.889	8.9	2294.71	2291.46	1
11	9	10.85	8.922	2865.12	2297.85	1
15	9	14.925	8.919	4050.43	2296.98	1
8	9	7.857	8.909	1994.53	2294.08	1
7	9	6.836	8.932	1697.55	2300.75	1
6	9	5.848	8.927	1410.16	2299.3	1
10	9	9.826	8.94	2567.26	2303.07	1
14	9	13.896	8.956	3751.12	2307.71	1
13	9	12.912	8.96	3464.9	2308.87	1
12	9	11.989	8.995	3196.43	2319.02	1
10	10	9.869	9.784	2579.77	2547.88	1
18	10	17.869	9.845	4906.77	2565.57	1
8	10	7.893	9.842	2005	2564.7	1
17	10	16.89	9.875	4622	2574.27	1
16	10	15.814	9.855	4309.02	2568.47	1
11	10	10.857	9.904	2867.15	2582.68	1
5	10	4.844	9.9	1118.12	2581.52	1
6	10	5.813	9.905	1399.98	2582.97	1
9	10	8.879	9.896	2291.8	2580.36	1
7	10	6.841	9.907	1699	2583.55	1
15	10	14.915	9.904	4047.53	2582.68	1
13	10	12.922	9.921	3467.81	2587.61	1
12	10	11.966	9.967	3189.74	2600.96	1
14	10	13.917	9.946	3757.23	2594.87	1
18	11	17.904	10.878	4916.95	2865.2	1
