x	y	new_x	new_y	pixel_x	pixel_y	selected
10	2	9.844	1.933	2576.37	271.83	1
11	2	10.852	1.992	2870.01	289.02	1
14	2	13.887	2.01	3754.14	294.27	1
9	2	8.96	2.016	2318.85	296.01	1
12	2	11.898	2.052	3174.72	306.5	1
13	2	12.951	2.032	3481.48	300.68	1
8	2	7.857	2.039	1997.53	302.72	1
7	2	6.826	2.034	1697.19	301.26	1
6	2	5.81	2.039	1401.21	302.72	1
10	3	9.856	3.02	2579.86	588.53	1
11	3	10.843	3.023	2867.39	589.41	1
7	3	6.867	3.045	1709.13	595.82	1
12	3	11.953	3.046	3190.75	596.11	1
14	3	13.927	3.033	3765.8	592.32	1
17	3	16.819	3.049	4608.27	596.98	1
13	3	12.927	3.054	3474.48	598.44	1
9	3	8.917	3.052	2306.32	597.86	1
16	3	15.87	3.066	4331.82	601.94	1
15	3	14.822	3.063	4026.52	601.06	1
6	3	5.789	3.073	1395.1	603.97	1
8	3	7.857	3.079	1997.53	605.72	1
11	4	10.869	4.028	2874.96	882.22	1
15	4	14.831	4.025	4029.14	881.34	1
10	4	9.842	4.04	2575.79	885.71	1
16	4	15.879	4.049	4334.44	888.34	1
8	4	7.848	4.054	1994.91	889.79	1
9	4	8.924	4.047	2308.36	887.75	1
18	4	17.906	4.055	4924.93	890.08	1
12	4	11.927	4.076	3183.17	896.2	1
7	4	6.931	4.054	1727.77	889.79	1
14	4	13.914	4.056	3762.01	890.37	1
13	4	12.922	4.069	3473.03	894.16	1
17	4	16.815	4.067	4607.11	893.58	1
6	4	5.833	4.091	1407.91	900.57	1
21	5	20.841	4.98	5779.93	1159.58	1
11	5	10.846	5.019	2868.26	1170.95	1
15	5	14.848	5.023	4034.1	1172.11	1
14	5	13.917	5.03	3762.88	1174.15	1
10	5	9.835	5.041	2573.75	1177.36	1
19	5	18.851	5.035	5200.22	1175.61	1
17	5	16.819	5.047	4608.27	1179.11	1
16	5	15.879	5.047	4334.44	1179.11	1
18	5	17.897	5.044	4922.31	1178.23	1
12	5	11.961	5.082	3193.08	1189.3	1
6	5	5.815	5.066	1402.67	1184.64	1
9	5	8.986	5.073	2326.42	1186.68	1
7	5	6.858	5.074	1706.51	1186.97	1
8	5	7.863	5.08	1999.28	1188.72	1
13	5	12.932	5.093	3475.94	1192.51	1
22	6	21.873	5.986	6080.57	1452.69	1
11	6	10.828	5.993	2863.02	1454.73	1
6	6	5.878	5.996	1421.02	1455.6	1
21	6	20.857	5.993	5784.59	1454.73	1
20	6	19.976	6.007	5527.95	1458.8	1
19	6	18.841	6.015	5197.31	1461.14	1
8	6	7.85	6.044	1995.49	1469.58	1
5	6	4.842	6.046	1119.22	1470.17	1
18	6	17.898	6.047	4922.6	1470.46	1
10	6	9.829	6.051	2572	1471.62	1
17	6	16.826	6.064	4610.31	1475.41	1
7	6	6.861	6.056	1707.38	1473.08	1
9	6	8.958	6.065	2318.26	1475.7	1
16	6	15.846	6.07	4324.83	1477.16	1
15	6	14.871	6.08	4040.8	1480.07	1
12	6	11.923	6.1	3182.01	1485.9	1
14	6	13.904	6.101	3759.1	1486.19	1
13	6	12.853	6.146	3452.93	1499.3	1
22	7	21.822	6.977	6065.71	1741.42	1
11	7	10.843	6.976	2867.39	1741.13	1
10	7	9.841	6.969	2575.49	1739.09	1
21	7	20.852	6.982	5783.14	1742.87	1
9	7	8.954	6.993	2317.1	1746.08	1
24	7	23.954	7.017	6686.79	1753.07	1
20	7	19.985	7.001	5530.57	1748.41	1
23	7	22.973	7.026	6401.01	1755.69	1
25	7	24.914	7.011	6966.45	1751.32	1
12	7	11.988	7.048	3200.94	1762.1	1
15	7	14.865	7.007	4039.05	1750.16	1
14	7	13.935	7.021	3768.13	1754.24	1
16	7	15.875	7.02	4333.27	1753.94	1
17	7	16.838	7.018	4613.81	1753.36	1
19	7	18.881	7.028	5208.96	1756.28	1
8	7	7.852	7.025	1996.07	1755.4	1
7	7	6.879	7.029	1712.63	1756.57	1
18	7	17.858	7.031	4910.95	1757.15	1
13	7	12.937	7.042	3477.4	1760.35	1
5	7	4.847	7.049	1120.68	1762.39	1
6	7	5.843	7.06	1410.83	1765.6	1
17	8	16.816	7.938	4607.4	2021.41	1
21	8	20.846	7.943	5781.39	2022.86	1
20	8	19.968	7.95	5525.62	2024.9	1
22	8	21.844	7.973	6072.12	2031.6	1
19	8	18.879	7.973	5208.38	2031.6	1
7	8	6.866	7.987	1708.84	2035.68	1
11	8	10.878	7.979	2877.58	2033.35	1
18	8	17.869	7.978	4914.15	2033.06	1
26	8	25.877	7.982	7246.98	2034.23	1
25	8	24.897	7.979	6961.49	2033.35	1
23	8	22.994	8.001	6407.13	2039.76	1
8	8	7.922	8.001	2016.47	2039.76	1
12	8	11.948	8.005	3189.29	2040.93	1
9	8	8.982	8.012	2325.26	2042.97	1
16	8	15.876	8	4333.56	2039.47	1
24	8	23.955	8.004	6687.08	2040.64	1
6	8	5.833	8.019	1407.91	2045.01	1
10	8	9.828	8.017	2571.71	2044.42	1
14	8	13.91	8.011	3760.84	2042.68	1
4	8	3.835	8.045	825.87	2052.58	1
13	8	12.932	8.037	3475.94	2050.25	1
5	8	4.884	8.031	1131.46	2048.5	1
22	9	21.862	8.927	6077.36	2309.55	1
17	9	16.868	8.924	4622.55	2308.68	1
10	9	9.857	8.926	2580.15	2309.26	1
28	9	27.817	8.944	7812.13	2314.51	1
21	9	20.84	8.935	5779.64	2311.89	1
11	9	10.864	8.968	2873.51	2321.5	1
23	9	23.005	8.971	6410.33	2322.37	1
19	9	18.898	8.962	5213.91	2319.75	1
18	9	17.871	8.966	4914.73	2320.92	1
20	9	19.985	8.973	5530.57	2322.96	1
12	9	11.958	8.989	3192.2	2327.62	1
8	9	7.868	8.985	2000.73	2326.45	1
24	9	23.954	8.98	6686.79	2325	1
25	9	24.915	8.971	6966.74	2322.37	1
9	9	8.935	8.993	2311.56	2328.78	1
4	9	3.857	8.997	832.28	2329.95	1
14	9	13.907	8.986	3759.97	2326.74	1
7	9	6.876	9.009	1711.75	2333.45	1
13	9	12.937	9.007	3477.4	2332.86	1
6	9	5.835	9.031	1408.5	2339.86	1
26	9	25.917	9.039	7258.63	2342.19	1
15	9	14.865	9.038	4039.05	2341.89	1
16	9	15.887	9.045	4336.77	2343.93	1
5	9	4.871	9.048	1127.67	2344.81	1
27	9	26.879	9.113	7538.88	2363.75	1
22	10	21.885	9.89	6084.06	2590.13	1
16	10	15.877	9.847	4333.86	2577.6	1
9	10	9.032	9.91	2339.82	2595.95	1
20	10	19.978	9.907	5528.53	2595.08	1
31	10	30.989	9.907	8736.17	2595.08	1
21	10	20.858	9.93	5784.88	2601.78	1
25	10	24.897	9.934	6961.49	2602.95	1
17	10	16.876	9.943	4624.88	2605.57	1
24	10	23.937	9.958	6681.83	2609.94	1
28	10	27.846	9.932	7820.58	2602.36	1
11	10	10.855	9.953	2870.88	2608.48	1
26	10	25.867	9.935	7244.07	2603.24	1
30	10	29.868	9.934	8409.61	2602.95	1
27	10	26.886	9.947	7540.92	2606.73	1
29	10	28.886	9.945	8123.54	2606.15	1
19	10	18.875	9.972	5207.21	2614.02	1
7	10	6.889	9.973	1715.54	2614.31	1
8	10	7.859	9.967	1998.11	2612.56	1
23	10	22.993	9.977	6406.84	2615.48	1
18	10	17.891	9.964	4920.56	2611.69	1
6	10	5.82	9.988	1404.13	2618.68	1
12	10	11.946	9.997	3188.71	2621.3	1
15	10	14.837	9.971	4030.89	2613.73	1
4	10	3.884	9.99	840.15	2619.26	1
10	10	9.827	9.988	2571.42	2618.68	1
13	10	12.956	9.984	3482.93	2617.51	1
5	10	4.861	9.995	1124.76	2620.72	1
14	10	13.911	10.027	3761.14	2630.04	1
22	11	21.856	10.895	6075.61	2882.94	1
12	11	11.967	10.895	3194.82	2882.94	1
21	11	20.864	10.902	5786.63	2884.98	1
30	11	29.882	10.902	8413.69	2884.98	1
10	11	9.835	10.92	2573.75	2890.22	1
20	11	19.967	10.904	5525.32	2885.56	1
31	11	30.986	10.902	8735.3	2884.98	1
32	11	31.844	10.904	8985.24	2885.56	1
17	11	16.809	10.931	4605.36	2893.43	1
19	11	18.872	10.917	5206.34	2889.35	1
26	11	25.895	10.911	7252.22	2887.6	1
9	11	8.989	10.93	2327.3	2893.13	1
28	11	27.864	10.92	7825.82	2890.22	1
29	11	28.885	10.915	8123.25	2888.76	1
