x	y	new_x	new_y	pixel_x	pixel_y	selected
16	7	15.835	7.002	4316.06	1749.41	1
15	7	14.929	7.023	4052.47	1755.53	1
18	7	17.856	7.019	4904.04	1754.36	1
17	7	16.818	7.013	4602.05	1752.61	1
14	7	13.907	7.04	3755.13	1760.48	1
17	8	16.927	7.923	4633.76	2017.85	1
16	8	15.813	7.969	4309.66	2031.26	1
10	8	9.824	7.99	2567.23	2037.38	1
18	8	17.84	7.995	4899.39	2038.84	1
11	8	10.855	8.013	2867.19	2044.08	1
13	8	12.946	8.035	3475.54	2050.5	1
12	8	11.985	8.061	3195.95	2058.07	1
14	8	13.897	8.049	3752.22	2054.58	1
11	9	10.829	8.98	2859.62	2325.94	1
10	9	9.826	8.967	2567.81	2322.15	1
16	9	15.84	8.979	4317.51	2325.64	1
5	9	4.81	8.982	1108.47	2326.52	1
18	9	17.853	8.983	4903.17	2326.81	1
7	9	6.833	8.988	1697.04	2328.27	1
8	9	7.856	8.983	1994.67	2326.81	1
9	9	8.894	8.998	2296.66	2331.18	1
17	9	16.861	9.013	4614.56	2335.55	1
13	9	12.926	9.009	3469.72	2334.39	1
14	9	13.894	9.008	3751.35	2334.1	1
12	9	11.998	9.04	3199.73	2343.42	1
15	9	14.91	9.079	4046.94	2354.79	1
12	10	12.074	9.883	3221.84	2589.13	1
21	10	20.845	9.937	5773.65	2604.87	1
19	10	18.864	9.94	5197.31	2605.75	1
22	10	21.851	9.959	6066.34	2611.29	1
10	10	9.803	9.952	2561.12	2609.24	1
13	10	12.925	9.984	3469.43	2618.57	1
5	10	4.841	9.966	1117.49	2613.33	1
17	10	16.858	9.966	4613.69	2613.33	1
20	10	19.921	9.977	5504.83	2616.53	1
8	10	7.876	9.97	2000.49	2614.49	1
18	10	17.837	9.96	4898.51	2611.58	1
11	10	10.836	9.974	2861.66	2615.66	1
15	10	14.927	9.976	4051.89	2616.24	1
4	10	3.916	9.983	848.37	2618.28	1
16	10	15.83	9.967	4314.6	2613.62	1
9	10	8.9	9.972	2298.41	2615.07	1
3	10	2.864	9.993	542.31	2621.2	1
14	10	13.891	9.999	3750.48	2622.94	1
2	10	1.867	10.096	252.24	2651.22	1
22	11	21.816	10.942	6056.15	2897.8	1
10	11	9.815	10.943	2564.61	2898.09	1
21	11	20.833	10.93	5770.16	2894.3	1
8	11	7.846	10.957	1991.76	2902.17	1
9	11	8.915	10.953	2302.77	2901.01	1
16	11	15.849	10.946	4320.13	2898.97	1
19	11	18.846	10.943	5192.07	2898.09	1
20	11	19.926	10.947	5506.28	2899.26	1
7	11	6.863	10.986	1705.77	2910.63	1
18	11	17.862	10.953	4905.79	2901.01	1
4	11	3.902	10.977	844.3	2908	1
17	11	16.849	10.957	4611.07	2902.17	1
13	11	12.937	10.982	3472.92	2909.46	1
23	11	23.023	10.987	6407.32	2910.92	1
3	11	2.873	10.988	544.93	2911.21	1
15	11	14.911	10.973	4047.23	2906.84	1
2	11	1.919	10.99	267.37	2911.79	1
12	11	11.974	11.018	3192.75	2919.95	1
14	11	13.889	10.989	3749.89	2911.5	1
22	12	21.858	11.927	6068.37	3184.9	1
21	12	20.842	11.911	5772.78	3180.24	1
19	12	18.86	11.929	5196.14	3185.48	1
20	12	19.922	11.937	5505.12	3187.81	1
6	12	5.801	11.946	1396.79	3190.44	1
16	12	15.845	11.932	4318.97	3186.36	1
5	12	4.834	11.947	1115.45	3190.73	1
10	12	9.816	11.946	2564.91	3190.44	1
7	12	6.827	11.947	1695.29	3190.73	1
18	12	17.878	11.953	4910.44	3192.48	1
23	12	23.002	11.966	6401.21	3196.27	1
15	12	14.916	11.957	4048.69	3193.64	1
24	12	23.968	11.96	6682.25	3194.52	1
9	12	8.903	11.966	2299.28	3196.27	1
25	12	24.922	11.968	6959.81	3196.85	1
8	12	7.839	11.962	1989.72	3195.1	1
4	12	3.899	11.979	843.43	3200.06	1
17	12	16.843	11.968	4609.32	3196.85	1
11	12	10.835	11.98	2861.37	3200.35	1
12	12	11.98	12.004	3194.49	3207.34	1
13	12	12.925	11.984	3469.43	3201.51	1
3	12	2.901	11.984	553.07	3201.51	1
14	12	13.912	11.995	3756.59	3204.72	1
2	12	1.926	11.988	269.41	3202.68	1
26	13	25.983	12.904	7268.49	3469.67	1
11	13	10.871	12.944	2871.84	3481.32	1
21	13	20.846	12.934	5773.95	3478.41	1
10	13	9.85	12.948	2574.8	3482.49	1
18	13	17.853	12.93	4903.17	3477.24	1
20	13	19.948	12.936	5512.68	3478.99	1
16	13	15.864	12.93	4324.49	3477.24	1
22	13	21.849	12.953	6065.76	3483.95	1
19	13	18.856	12.941	5194.98	3480.45	1
23	13	22.961	12.965	6389.28	3487.45	1
24	13	23.955	12.957	6678.47	3485.11	1
17	13	16.816	12.944	4601.47	3481.32	1
25	13	24.91	12.952	6956.32	3483.66	1
5	13	4.844	12.946	1118.36	3481.91	1
7	13	6.845	12.95	1700.53	3483.07	1
9	13	8.907	12.951	2300.44	3483.37	1
15	13	14.904	12.961	4045.19	3486.28	1
6	13	5.814	12.958	1400.57	3485.41	1
8	13	7.862	12.963	1996.41	3486.86	1
14	13	13.915	12.973	3757.46	3489.78	1
4	13	3.902	12.972	844.3	3489.49	1
2	13	1.917	12.971	266.79	3489.19	1
3	13	2.881	12.985	547.25	3493.28	1
12	13	11.999	13.013	3200.02	3501.44	1
13	13	12.939	12.99	3473.5	3494.73	1
8	14	7.823	13.908	1985.07	3762.3	1
21	14	20.836	13.906	5771.04	3761.72	1
20	14	19.948	13.922	5512.68	3766.38	1
11	14	10.863	13.943	2869.52	3772.5	1
19	14	18.866	13.927	5197.89	3767.84	1
16	14	15.832	13.927	4315.19	3767.84	1
10	14	9.833	13.934	2569.85	3769.88	1
22	14	21.862	13.956	6069.54	3776.29	1
5	14	4.836	13.941	1116.04	3771.92	1
23	14	23.009	13.965	6403.24	3778.92	1
24	14	23.955	13.95	6678.47	3774.54	1
6	14	5.837	13.954	1407.26	3775.71	1
7	14	6.843	13.948	1699.95	3773.96	1
15	14	14.914	13.948	4048.1	3773.96	1
26	14	25.945	13.952	7257.44	3775.13	1
14	14	13.9	13.957	3753.09	3776.58	1
25	14	24.92	13.955	6959.23	3776	1
18	14	17.867	13.957	4907.24	3776.58	1
13	14	12.95	13.963	3476.7	3778.33	1
3	14	2.878	13.974	546.38	3781.54	1
17	14	16.86	13.966	4614.27	3779.21	1
9	14	8.919	13.972	2303.93	3780.96	1
4	14	3.9	13.977	843.72	3782.41	1
2	14	2.065	13.993	309.85	3787.08	1
12	14	11.985	14	3195.95	3789.12	1
22	15	21.879	14.915	6074.48	4055.81	1
27	15	26.871	14.923	7526.84	4058.14	1
19	15	18.857	14.917	5195.27	4056.4	1
10	15	9.816	14.94	2564.91	4063.1	1
18	15	17.848	14.931	4901.72	4060.48	1
20	15	19.954	14.931	5514.43	4060.48	1
21	15	20.843	14.933	5773.07	4061.06	1
11	15	10.829	14.964	2859.62	4070.1	1
24	15	23.96	14.939	6679.93	4062.81	1
