x	y	new_x	new_y	pixel_x	pixel_y	selected
22	10	21.954	9.911	6098.92	2587.6	1
21	10	20.907	9.952	5794.18	2599.5	1
20	10	19.997	9.928	5529.31	2592.53	1
14	10	13.95	9.949	3769.26	2598.63	1
18	10	17.904	9.945	4920.12	2597.47	1
19	10	18.92	9.955	5215.84	2600.37	1
15	10	14.882	9.966	4040.53	2603.57	1
24	10	23.996	9.963	6693.27	2602.7	1
25	10	24.956	9.965	6972.69	2603.28	1
23	10	23.062	9.969	6421.42	2604.44	1
17	10	16.806	9.972	4600.53	2605.31	1
12	10	12.014	9.993	3205.76	2611.41	1
13	10	12.976	9.979	3485.76	2607.34	1
16	10	15.948	9.964	4350.8	2602.99	1
22	11	21.93	10.878	6091.94	2868.4	1
20	11	19.988	10.912	5526.69	2878.27	1
21	11	20.909	10.919	5794.76	2880.3	1
9	11	8.973	10.928	2320.64	2882.92	1
26	11	25.905	10.931	7248.91	2883.79	1
19	11	18.901	10.932	5210.31	2884.08	1
8	11	7.903	10.944	2009.2	2887.56	1
10	11	9.866	10.951	2580.56	2889.59	1
17	11	16.9	10.933	4627.89	2884.37	1
18	11	17.911	10.932	4922.16	2884.08	1
6	11	5.877	10.951	1419.51	2889.59	1
7	11	6.898	10.947	1716.69	2888.43	1
15	11	14.877	10.942	4039.07	2886.98	1
24	11	24.017	10.943	6699.39	2887.27	1
16	11	15.946	10.963	4350.22	2893.08	1
25	11	24.979	10.946	6979.39	2888.14	1
12	11	12.021	10.979	3207.8	2897.73	1
23	11	23.056	10.967	6419.67	2894.24	1
14	11	13.954	10.988	3770.42	2900.34	1
13	11	12.994	11.02	3491	2909.63	1
22	12	21.954	11.899	6098.92	3164.88	1
27	12	26.956	11.904	7554.82	3166.33	1
21	12	20.908	11.907	5794.47	3167.2	1
20	12	20.004	11.903	5531.35	3166.04	1
28	12	27.926	11.905	7837.15	3166.62	1
31	12	31.009	11.907	8734.49	3167.2	1
29	12	28.902	11.913	8121.23	3168.94	1
